报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15791,15889,21467,31549,24967,11484,19306,10986,17555,20818,21702,19499,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,0,--,--,768,--,--,--,--,135,
应收账款(万元),34393,32680,25907,23478,25166,23581,19060,20684,16833,11934,9646,4992,
预付款项(万元),2570,2103,2255,1372,2563,1101,972,739,602,89,23,4201,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,31,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1121,748,596,512,628,857,681,472,589,437,459,530,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),4146,2128,2789,4197,2214,2005,2931,3869,5253,3748,5822,2209,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),438,432,35,52,0,35,34,53,587,--,94,224,
流动资产合计(万元),58459,53980,53050,61159,55538,39063,43751,36802,41419,37026,37777,31789,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,0,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),137,141,146,151,155,160,169,178,187,205,224,242,
固定资产原值(万元),--,3647,--,3671,--,3649,3645,--,--,--,--,--,
累计折旧(万元),--,2425,--,2366,--,2264,2149,--,--,--,--,--,
固定资产净值(万元),--,1221,--,1305,--,1385,1496,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),1190,1221,1269,1305,1341,1385,1496,1578,1698,1897,1955,2114,
在建工程(万元),9203,9203,9203,9203,--,--,73,14,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),60,87,115,144,149,177,233,290,205,37,72,6,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),69,71,73,75,77,79,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),673,658,614,616,490,510,412,373,312,227,153,81,
其他非流动资产(万元),--,0,--,--,8715,8715,8715,8715,8715,4128,--,--,
非流动资产合计(万元),11331,11381,11419,11494,10928,11027,11097,11149,11117,6494,2403,2442,
资产总计(万元),69791,65361,64469,72652,66465,50091,54848,47950,52536,43520,40180,34231,
