报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2011-12-31,2010-12-31,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),210425,210977,214854,216795,219314,206005,208690,206659,209151,216301,205307,201528,204039,186743,172388,173971,175565,160198,161323,173082,168919,156791,157734,91286,74414,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),32527,34808,36378,32324,33464,36554,36224,39094,42072,7326,7823,6788,7203,8814,8686,5684,6294,7996,8689,9316,9914,10576,11625,7045,2674,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),12497,12210,11643,12410,12052,10439,11019,12685,13128,10102,14305,13969,18626,19467,23502,24504,27726,24387,30960,31045,34252,21063,21223,23810,20677,
其他非流动资产(万元),14301,11135,13502,10961,11548,10241,25434,16029,12499,47880,82859,75777,63722,122398,188386,133329,188393,247479,252455,306649,250313,270382,192470,94565,243979,
非流动资产合计(万元),8622614,8776562,8707487,8889722,8943851,8296848,8281361,8079084,8102876,8024690,8046132,8119484,8206821,8048777,8122490,7930264,7949359,7514961,7159277,7162555,7295555,6767708,6457100,5889896,6207485,
资产总计(万元),10969634,11082254,11131487,11185658,11288338,10709195,10498792,10646486,10583658,10520352,10258534,10381010,10366231,10211364,10570290,10459067,10420359,9538816,8939806,9181880,9201770,8559220,8137798,7551741,7851176,
短期借款(万元),644749,679500,672500,671000,692000,547500,532000,491000,491000,629700,566700,559700,632700,621500,708500,660500,683500,1098500,1193000,1211500,1542200,1314373,993000,1116554,1009446,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),22605,--,2581,9982,22827,3,3,--,26,26,3000,3000,9000,5000,--,14500,14500,--,--,2000,2900,7855,13000,99000,56689,
应付账款(万元),576548,--,572244,668558,647706,571564,586367,610458,683019,596011,568900,567253,583188,556714,589278,595773,673248,477837,421887,582555,518062,445216,429672,477580,502734,
预收账款(万元),29288,64738,62151,60516,67839,46369,64012,24053,19365,5984,9251,12733,6329,11427,9944,7828,4242,66309,8289,46381,13316,33155,19070,496,6756,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),20555,16596,16056,13713,21980,15176,10148,11229,15279,26241,17358,18040,38005,23890,25957,20203,38942,33024,31076,30770,36377,25015,21092,19101,20607,
应交税费(万元),74217,48964,56724,34181,73042,59363,41418,67792,59635,43206,71704,56402,78920,70235,79876,73980,92967,57304,53228,67714,96744,72880,86686,56192,63228,
应付利息(万元),10310,16807,11355,15525,10530,16660,11427,15575,10156,21129,15284,20851,15290,35349,26643,28993,17493,44272,31757,24562,13774,32283,9526,9089,8003,
应付股利(万元),741,741,231953,1172,1172,1211,766,741,1550,809,15507,741,741,741,240011,741,796,554,2118,--,741,594,58695,594,1560,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,114693,116549,154786,122685,113354,119513,112443,137822,112412,110731,86396,165576,147684,140585,121449,418552,92930,109965,82193,78445,66774,70557,114470,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),177244,131315,142887,121234,137007,93523,97016,112729,161003,128550,133647,170252,173407,49750,90650,106112,101264,83628,113806,79721,104329,219187,224441,303809,143829,
其他流动负债(万元),5488,--,--,--,--,122,83,2910,--,--,--,--,--,--,--,--,--,2700,2700,2700,2700,--,--,--,--,
流动负债合计(万元),1641720,1564693,1883143,1712430,1828889,1474178,1456593,1456001,1553477,1589478,1513764,1519703,1623976,1540181,1918544,1649216,1748401,2282682,1950793,2157869,2413335,2229005,1921957,2152971,1927322,
长期借款(万元),2212800,2305191,2282029,2333540,2358260,2275411,2255002,2254628,2221564,2132500,2168311,2146978,2133433,2331746,2418758,2530391,2557250,2590407,2516843,2467384,2348278,2286249,2158846,1811881,2112929,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,854092,844502,--,--,--,--,--,--,--,--,
长期应付款(万元),67575,72793,72257,53593,52366,48236,43897,27572,26867,5127,5026,5849,5758,6303,6473,8311,6901,3000,3000,3000,3000,3000,3000,3000,3000,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,799,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),31005,32637,33012,35063,35634,36195,38213,36751,37993,39438,40475,40456,41673,42576,44294,44052,43904,--,--,--,--,--,--,--,--,
递延所得税负债(万元),78504,101759,79691,111331,117083,116554,112498,102562,96381,94580,92111,90406,105094,93997,121428,107331,106451,49960,45771,47352,51962,51631,66634,54768,65701,
其他非流动负债(万元),22774,20572,23691,16388,16285,19044,21952,16214,16587,36349,55575,66205,69495,9010,--,--,--,41242,41836,44325,44622,40591,40000,39479,47413,
非流动负债合计(万元),2412657,2532952,2490680,2549915,2579627,2495439,2471562,2437727,2399392,2307994,2361499,2349895,2355453,2483632,2590954,3544177,3559008,2684610,2607451,2562860,2447862,2381471,2268481,1909128,2229043,
负债合计(万元),4054378,4097645,4373823,4262345,4408517,3969617,3928155,3893728,3952869,3897473,3875262,3869598,3979430,4023814,4509498,5193393,5307409,4967292,4558244,4720729,4861198,4610476,4190437,4062100,4156364,
实收资本(或股本)(万元),1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1360069,1183706,1183706,1183706,1183706,910543,910543,803334,803334,770000,330000,
资本公积(万元),2410277,2410213,2410213,2409231,2409231,2383077,2383077,2383077,2383077,2385238,2343934,2341981,2341981,2345250,2345250,1658481,1658481,1501179,1543809,1821714,1835545,1312407,1332523,1216401,1654603,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),361081,316009,316009,316009,316009,262048,262048,262048,262048,198676,198676,198676,198676,137423,137423,137423,137423,77086,77086,77086,77086,50940,50940,10864,26490,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),1860824,1880702,1740106,1794613,1737330,1702840,1563864,1731893,1638410,1658227,1490444,1588577,1441295,1367577,1195740,1271774,1144917,1033472,909449,911456,790988,536468,592583,380688,543872,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),6119546,6172413,5962072,6114022,6077814,5952536,5799794,5939692,5827669,5790452,5569192,5665096,5561879,5395635,5306093,4476722,4347227,3850639,3714050,3720800,3614162,2703149,2779380,2377953,2554965,
少数股东权益(万元),795711,812196,795591,809291,802007,787043,770843,813065,803120,832427,814079,846316,824922,791915,754699,788952,765723,720885,667512,740351,726410,1245595,1167981,1111688,1139847,
所有者权益(或股东权益)合计(万元),6915257,6984609,6757664,6923313,6879821,6739579,6570637,6752758,6630789,6622879,6383272,6511412,6386801,6187550,6060792,5265674,5112950,4571524,4381562,4461151,4340573,3948744,3947361,3489641,3694812,
负债和所有者权益(或股东权益)总计(万元),10969634,11082254,11131487,11185658,11288338,10709195,10498792,10646486,10583658,10520352,10258534,10381010,10366231,10211364,10570290,10459067,10420359,9538816,8939806,9181880,9201770,8559220,8137798,7551741,7851176,		
  
