报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),50270,54064,44532,62009,75536,52864,40243,38288,33740,40826,29263,41234,31379,14558,19763,19362,37124,25261,23050,36698,45532,37024,42353,32125,41861,31885,42245,35616,41629,40787,29465,34522,43168,47936,48188,78439,15151,13607,18195,7908,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,126,--,--,--,41,--,--,--,--,--,--,--,--,--,--,--,--,159,342,-230,63,165,--,--,0,-206,-188,127,372,708,--,--,--,--,0,274,369,141,0,
衍生金融资产(万元),317,--,--,--,--,--,257,119,--,--,--,--,--,--,--,180,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),2548,3356,2519,3579,2501,8077,2950,737,2802,5664,2125,1223,4002,8609,2926,3934,4425,8319,3803,3496,1886,5760,3632,982,1318,3464,4585,6748,8124,4132,3757,3594,2056,2976,1489,1161,613,357,96,408,
应收账款(万元),84335,80965,72894,67926,64647,60910,52278,49514,48612,48041,49324,42292,47259,43605,49294,42494,39938,38777,43276,41190,38560,40787,44385,41816,39270,39261,43875,37001,35137,44745,45126,44422,40684,41315,40700,39679,35272,37519,31071,24752,
预付款项(万元),12766,5998,8641,4895,4445,4855,3871,3662,3487,3379,1935,2258,1656,2518,3342,3534,3599,2440,4524,4598,4883,3122,4576,6440,4948,6306,7297,7120,10542,8083,20052,15584,14610,14631,13723,5834,6576,3408,2672,2071,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,
应收利息(万元),9,--,--,93,39,40,43,30,18,--,19,--,--,26,70,43,123,99,69,31,1,15,12,14,37,54,81,153,83,80,34,80,193,154,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,
其他应收款(万元),--,1112,2414,2401,2211,1090,1766,1395,1631,659,1876,1385,1743,691,1321,1472,1439,948,1252,1132,2952,2044,2495,2059,2504,1899,1926,1951,1150,707,1549,1893,2181,1657,1790,939,1398,1265,1212,6651,
