报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),55332,83807,56450,109914,76494,113066,50900,58806,117401,29277,12776,13095,17027,23513,12234,16518,24321,26180,19980,29544,29103,40121,32874,37112,6273,13337,8009,12415,6482,6754,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),106758,91619,85940,80578,63432,52853,60038,43840,40155,37677,41223,36913,31352,36825,34606,26222,22759,29105,24737,20668,18474,16802,15968,16557,11124,8555,8486,6454,3169,2377,
预付款项(万元),4016,2764,2747,2584,1267,635,1327,1632,613,408,1097,1170,1518,748,1566,1325,1375,501,1074,1000,561,338,475,117,586,437,455,106,110,149,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),0,18,126,41,--,--,362,45,--,0,0,0,0,8,4,1,67,32,50,65,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),7230,7390,7460,7717,7953,6913,10368,8144,8731,7187,5956,5577,3201,2450,3420,3400,3336,2176,4064,3891,3662,2051,3550,2643,2169,848,1754,582,766,1252,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),32842,31804,35811,35827,34300,33958,31342,35278,36577,16211,17220,18321,17007,15025,16509,15367,15601,13200,15114,13783,12420,10801,9187,10641,8053,4182,2940,2308,1295,1334,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),16765,15765,23645,5184,5157,6506,40660,43056,5409,214,27,41,114,157,0,0,81,--,29,--,--,--,--,--,--,--,23,4,46,25,
流动资产合计(万元),222942,233166,212190,241845,188604,213931,194998,190803,208886,90973,78300,75116,70218,78726,68339,62834,67539,71193,65047,68951,64221,70113,62054,67070,28204,27360,21667,21869,11869,11892,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),17396,19036,1500,350,200,200,200,200,9700,200,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),534,546,594,713,710,699,805,793,822,888,910,934,1024,1063,1060,1079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2056,2130,1910,1978,1991,1972,2932,3002,3076,2945,5687,4285,3915,3979,5392,5307,--,--,--,--,--,--,--,--,--,--,--,--,--,47,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,35656,--,34181,--,16953,--,12866,--,11950,--,10881,--,10959,--,10697,--,3872,--,3615,--,3536,--,3411,--,3265,2941,2575,--,1869,
累计折旧(万元),--,11027,--,9429,--,4340,--,3742,--,3199,--,2774,--,2794,--,2484,--,2268,--,2146,--,2040,--,1873,--,1663,1484,1335,--,897,
固定资产净值(万元),--,24629,--,24753,--,12613,--,9124,--,8751,--,8108,--,8164,--,8213,--,1604,--,1469,--,1496,--,1538,--,1602,1457,1241,--,972,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),24273,24629,24492,24753,14681,12613,11790,9124,8994,8751,8221,8108,8013,8164,8110,8213,7943,1604,1541,1469,1387,1496,1619,1538,1541,1602,1457,1241,1150,972,
在建工程(万元),489,382,279,--,--,--,--,--,--,0,495,459,459,352,0,0,0,5758,5506,--,--,--,16,--,--,--,--,--,--,--,
