报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),89143,120586,148870,145392,159270,160757,153757,155943,152660,163159,145994,137046,130002,124675,77347,71395,70231,67475,63257,62018,56447,58065,55815,51238,59276,57171,61299,49610,54642,74164,65134,67861,68850,65954,70154,64608,63400,58620,55626,63695,24569,21819,15164,16230,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
交易性金融资产(万元),65600,34200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
应收票据(万元),--,--,--,16,--,--,--,32,16,983,440,65,--,32,36,--,51,51,--,13,13,--,--,--,--,--,--,--,64,64,--,0,--,0,--,0,--,0,--,--,0,0,0,0,
应收账款(万元),8449,5687,10165,9745,7732,4275,7489,4500,7018,5372,7949,5073,6794,3889,5283,5328,4657,3454,4381,2668,4656,2251,1757,3624,3876,3469,3512,3476,3416,1243,3697,3053,870,536,2793,582,2171,530,612,243,48,159,4334,253,
预付款项(万元),2351,1842,2153,2177,2427,2262,1774,1498,1253,2097,1001,1095,1440,1026,3558,3409,3454,2016,2403,2425,1706,1604,3083,2075,2026,1062,8583,1310,2248,1515,1568,1423,1515,704,1498,1735,1957,1795,2251,2111,1055,1093,787,1541,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,0,
应收股利(万元),7,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,0,--,
其他应收款(万元),3201,2473,2401,2603,2393,2012,3224,2513,2060,1772,1517,1396,2067,1296,2015,1243,1296,1170,1418,1212,1158,1275,1115,987,1017,677,1908,1777,1696,1407,1012,1370,1096,904,2084,1958,2676,1886,1677,1545,2346,1456,12685,12894,
