报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
货币资金(万元),814210,990269,877972,870107,909758,769367,758851,546875,391008,659643,490483,387651,505522,445316,607008,879762,497914,537883,648475,489299,385476,368397,408145,510217,477266,404845,356290,483613,405712,199252,234454,170408,404139,558295,77831,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,
交易性金融资产(万元),312,110,--,--,--,--,222,505,--,1821,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,100,0,10046,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,6091,1082,
应收票据(万元),410235,697300,558378,418326,439921,636238,658180,580941,395405,679881,624015,383620,589129,935236,649894,423402,459461,558775,377480,387938,431684,373146,352228,311192,390607,431931,247890,157834,278708,275621,571620,289493,0,140093,0,
应收账款(万元),5229505,5188068,5167720,4653049,4127239,4176800,3398504,2766958,2267130,2151909,1612163,1484723,1380853,1375193,1278171,1206029,888568,768742,743156,676957,574978,626028,591096,514152,461946,548773,513447,504479,466705,539659,406672,266284,392120,403165,296858,
预付款项(万元),60543,84881,38062,26439,30743,20594,34389,26583,34144,22696,20494,18589,19208,33861,28950,39871,45579,32643,41819,41004,52339,52797,51361,54646,56261,59873,71167,78136,66523,61029,21121,22777,120289,67500,100380,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,0,--,--,--,--,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,--,0,788,788,788,788,1237,2074,1548,230,0,0,0,
