报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),34004,42986,57784,103583,78582,67048,82035,83238,97932,95891,117453,116120,36102,18789,15251,28254,25179,24089,34457,43304,56066,52414,53967,59452,57586,64561,67724,73985,69739,70584,75137,78995,3601,8299,8278,5828,3377,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,104,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),14787,8907,4586,17081,13267,20213,10118,9433,4102,6123,4776,11613,485,535,440,334,127,148,921,1035,168,57,84,354,102,50,--,83,--,10,32,142,0,29,40,95,45,
应收账款(万元),79614,100156,116272,99474,112972,94603,91494,96918,70646,69001,73056,68650,46515,48394,41450,33451,29961,24834,24359,22322,17462,16402,11241,8985,7652,7260,5815,4694,4402,3291,2505,1702,2263,3151,2184,1683,1214,
预付款项(万元),13063,11194,19208,9124,49066,45406,14348,12970,18985,12352,11951,4002,7505,5049,11665,4496,12281,6627,4679,3573,7252,7064,6691,6037,10811,3351,5291,2352,458,888,427,312,693,1050,251,783,352,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,919,509,434,1053,711,110,492,1601,986,1254,548,833,493,462,112,185,107,252,56,1018,682,422,237,1010,703,455,135,1094,757,520,142,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,72,252,252,72,90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),12847,12064,11695,10692,19281,5482,10189,13840,15308,13279,6720,5587,3640,2972,2431,1877,1385,1465,1676,2333,695,623,869,314,485,414,780,394,192,298,216,160,247,228,241,343,509,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
