报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),146700,126471,67320,44981,71438,65822,49973,26301,64127,39523,95485,68288,224336,54745,33863,30375,64246,25268,26499,36248,43373,24248,25502,43507,47020,32912,36779,35816,50283,37874,39914,43892,56521,40635,45627,43961,55800,6566,9770,12572,13353,3890,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),--,--,85,--,6,--,--,65,157,--,--,--,--,--,--,--,--,--,--,--,--,200,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1800,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收账款(万元),8608,15875,16090,14271,8505,13899,23512,28745,25813,135972,136615,136864,123118,111007,112163,110747,104737,73485,74312,75879,61670,52503,48115,44914,40229,42542,41884,31676,27710,29538,28854,24944,19430,23289,20697,13269,11700,15680,13706,7700,5002,2151,
预付款项(万元),62,--,--,11,100,7,2840,4652,5485,8754,12978,7461,7721,6396,6760,9309,5367,4968,6956,5655,2676,4755,7755,6581,1396,5461,2810,6173,1633,2114,1408,1491,879,745,807,1050,893,0,106,467,978,9,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
