报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),106131,167804,117966,134099,125160,200453,122405,106076,145233,206855,90210,95313,103883,143126,88854,98265,94574,164894,73361,91127,78631,117883,102901,116022,116981,133136,79930,87831,50784,74396,72640,61539,38948,70743,41589,71204,36136,51130,29475,37533,35850,55417,24579,28277,21757,33006,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,49,35,31,35,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收票据(万元),5232,6460,7163,10857,15242,12140,9473,5436,3362,8647,1944,1556,1652,2275,3621,1775,3098,3456,1419,1929,270,1013,2115,2078,371,493,1498,221,748,79,85,105,18,10,183,454,91,276,155,1432,697,943,615,159,311,1107,
应收账款(万元),108717,112201,127647,140524,126969,118822,131108,135566,119645,111296,100596,107876,95361,99875,103323,108100,97594,102937,88687,84421,72323,65568,75111,70688,71791,68051,67564,61426,60427,59594,112982,108516,92401,76295,86650,78791,71527,70049,81293,74034,73252,63745,63994,61527,54340,46304,
预付款项(万元),33726,19733,26818,34740,35624,30989,44126,27899,27155,22911,25382,26355,26660,25695,26994,30160,31109,21447,26913,23593,19228,17220,21873,20625,17415,17129,14846,22122,12016,9897,19098,14638,11417,11935,19799,18159,17550,14042,15632,13141,7232,7328,10038,10631,10402,6472,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,0,0,
