报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),47332,50213,59490,30467,76473,68844,50702,59292,85281,53342,51767,43890,96361,33798,52280,87913,56450,65675,68103,125709,60349,119545,115072,68623,88563,140496,75762,109721,154005,45714,51950,50170,51121,25998,39363,25695,21971,9546,3781,6236,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
交易性金融资产(万元),--,47,13,5,3,9,12,--,271,--,0,--,--,--,90,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收票据(万元),1189,754,4650,--,--,1500,1500,1500,4000,1000,1000,--,--,--,--,--,1642,1380,294,1019,1647,1488,1948,3513,860,3432,3718,171,771,1712,3130,3173,1680,--,0,0,0,0,0,--,
应收账款(万元),45928,46169,32593,39621,42516,38654,23175,38637,35254,31102,24703,27300,32426,33082,28088,33296,23444,20820,22981,20493,22677,17815,15204,14302,16943,12580,19474,13894,12901,10477,8868,8816,7815,7115,7080,7015,4351,7024,4661,3798,
预付款项(万元),7649,5442,6754,11336,9010,5687,9523,7571,21162,14741,9680,13952,14053,13941,8160,21779,7966,7766,10024,33069,27878,38637,22094,20502,22707,7596,11061,12017,16573,10546,7861,3974,5417,2294,3704,3805,1558,1372,934,683,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,--,--,--,--,--,--,--,--,--,140,65,135,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,255,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
其他应收款(万元),1028,1231,736,773,678,773,514,1312,744,606,1297,8581,5036,4787,4258,2813,1071,420,197,2220,228,248,119,197,187,288,171,153,686,483,481,424,2116,120,102,281,149,103,98,8363,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,--,
