报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),35900,41306,26952,29375,31984,48863,37903,36053,25333,113218,12576,19171,24506,30894,8167,6044,5083,4906,5039,4094,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120,569,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),28918,20078,25716,20582,16620,11261,12075,9830,11404,10503,11071,9990,12265,8529,8574,8638,9092,6839,5779,3800,
预付款项(万元),1131,462,625,995,602,962,508,598,584,435,643,653,667,339,144,98,149,83,84,303,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),296,64,91,183,238,90,237,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3183,2592,4081,3201,4044,2562,3159,5872,4102,4183,3433,6869,3154,3605,2452,2414,1872,2080,1644,1500,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),36540,34388,33455,31833,25639,26618,25505,22343,20726,17890,17107,16619,16104,15154,13679,12702,14066,10630,8192,7173,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),14575,10261,21503,25258,27416,22920,55956,58831,60994,1567,1570,1014,986,632,551,948,987,968,281,--,
流动资产合计(万元),120543,109151,112422,111426,106543,113276,135343,133526,123142,147796,46401,54316,57682,59154,33566,30843,31249,25626,21587,16870,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),347,347,347,347,347,347,347,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1640,1670,1700,1730,1760,3581,3641,3701,3762,3882,3882,3942,4003,4063,4123,4184,4244,4365,4606,--,
固定资产原值(万元),134025,--,131534,--,99477,--,79150,--,72012,--,67181,--,55047,--,49839,--,47951,45981,--,--,
累计折旧(万元),40299,--,37141,--,25841,--,22130,--,19659,--,20502,--,18298,--,16664,--,14929,13308,--,--,
固定资产净值(万元),93726,--,94393,--,73636,--,57020,--,52353,--,46678,--,36749,--,33175,--,33023,32674,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),93726,91629,94393,91627,73636,56558,57020,52917,52353,46827,46678,40131,36749,32845,33175,32273,33023,32674,17694,21149,
