报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),6226,6730,5506,8282,7820,7229,7105,2783,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),2010,1299,1492,1618,1221,489,954,454,
应收账款(万元),24679,19731,18181,13544,18188,19171,12422,10677,
预付款项(万元),804,410,485,891,145,263,232,638,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),244,229,153,140,165,108,3119,2548,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),7511,6609,4489,4279,4428,4574,3723,3314,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),323,723,144,246,389,339,83,336,
流动资产合计(万元),41797,35732,30449,29000,32356,32174,27637,20751,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),169,127,131,149,144,7,26,30,
固定资产原值(万元),--,14958,12715,9638,--,8530,--,--,
累计折旧(万元),--,5210,4757,4457,--,3810,--,--,
固定资产净值(万元),--,9748,7959,5181,--,4720,--,--,
固定资产减值准备(万元),--,12,12,22,--,22,--,--,
固定资产(万元),9151,9736,7946,5159,4998,4698,3790,4091,
在建工程(万元),5739,4835,3725,3612,2768,1664,327,94,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),3506,3514,2788,3310,3372,3396,1702,1831,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),1425,1374,1445,498,530,527,262,273,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),347,305,288,283,369,381,357,266,
其他非流动资产(万元),170,121,2,916,160,82,194,130,
非流动资产合计(万元),20507,20013,16326,13926,12341,10755,6657,6715,
资产总计(万元),62304,55744,46775,42926,44697,42929,34294,27466,
短期借款(万元),13083,9860,11079,11079,11632,11072,6439,5142,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,
应付账款(万元),16631,15000,6722,3796,7375,8580,7365,5646,
预收账款(万元),4,338,298,581,194,148,343,237,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),342,344,882,732,296,556,584,461,
应交税费(万元),950,880,870,511,1298,1045,441,654,
应付利息(万元),17,14,18,20,19,22,12,10,
应付股利(万元),--,--,--,--,--,1076,5000,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),1635,1661,1247,979,782,543,528,528,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),32662,28098,21115,17699,21597,23041,20712,12676,
长期借款(万元),--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),599,607,378,517,267,233,183,190,
递延所得税负债(万元),433,433,443,548,561,579,98,103,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),1032,1040,820,1065,828,812,281,292,
负债合计(万元),33694,29138,21935,18764,22425,23852,20993,12969,
实收资本(或股本)(万元),9000,9000,9000,9000,9000,7174,6400,6400,
资本公积(万元),7848,7848,7848,7848,7848,6825,3731,3731,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),1153,1127,1085,897,834,707,486,291,
盈余公积(万元),1337,1163,989,504,47,1321,1052,700,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),9273,7469,5918,5913,4544,3049,1632,3376,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),28610,26606,24839,24162,22272,19077,13301,14497,
少数股东权益(万元),--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),28610,26606,24839,24162,22272,19077,13301,14497,
负债和所有者权益(或股东权益)总计(万元),62304,55744,46775,42926,44697,42929,34294,27466,		
  
