报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),18308,20372,22311,18712,14264,8042,5496,7091,5796,5670,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,
应收账款(万元),13493,10215,9352,11592,8225,7523,5930,5577,4668,5289,
预付款项(万元),2418,1320,501,584,665,973,63,1048,940,849,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),181,227,452,511,364,469,406,732,762,836,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),7951,5221,5891,5574,4128,4772,4746,4608,4105,4793,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),32606,346,378,263,364,6736,252,225,918,258,
流动资产合计(万元),74958,37702,38886,37235,28011,28515,16893,19282,17188,17695,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1200,1200,1200,1200,1200,1471,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,5,1060,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),394,400,406,411,414,434,--,--,--,--,
固定资产原值(万元),--,20204,20153,--,--,--,--,--,--,--,
累计折旧(万元),--,7893,7599,--,--,--,--,--,--,--,
固定资产净值(万元),--,12311,12555,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),12127,12311,12555,12774,13126,13629,14386,14728,15639,16105,
在建工程(万元),1042,530,105,--,--,--,7,97,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3872,3897,3921,3947,3994,3444,3699,3748,3849,3901,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,0,--,--,--,--,--,
长期待摊费用(万元),458,240,41,3,9,17,93,92,146,177,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),108,134,84,118,130,118,98,165,135,154,
其他非流动资产(万元),3528,125,75,187,36,--,--,--,--,--,
非流动资产合计(万元),22729,18838,18385,18642,18909,19118,19343,18830,19769,20336,
资产总计(万元),97687,56539,57271,55876,46919,47633,36236,38112,36957,38031,
短期借款(万元),--,2000,2000,2000,2000,2000,363,4634,3340,6044,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,
应付账款(万元),14645,13856,12758,12840,9647,9784,4112,4471,6689,6642,
预收账款(万元),261,124,5,9,113,163,161,168,267,269,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),918,781,1141,1241,638,1228,746,807,845,695,
应交税费(万元),661,687,642,404,198,431,189,363,427,587,
应付利息(万元),--,2,2,2,2,2,2,4,5,33,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),32,25,14,41,42,12,47,36,39,11,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),16518,17476,16562,16536,12640,13619,5620,10482,11611,14280,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,
负债合计(万元),16518,17476,16562,16536,12640,13619,5620,10482,11611,14280,
实收资本(或股本)(万元),8000,6000,6000,6000,6000,6000,5800,5800,5800,5800,
资本公积(万元),58400,20575,20575,20575,20575,20575,18175,18175,7172,7172,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1259,1259,1259,1259,731,731,65,65,1343,1134,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),13080,10765,12244,10883,6550,6374,6222,3248,10658,9268,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),80831,38734,40390,39008,33955,33693,30262,27280,24956,23374,
少数股东权益(万元),337,330,318,332,324,321,354,350,390,377,
所有者权益(或股东权益)合计(万元),81169,39064,40709,39340,34279,34014,30616,27630,25346,23751,
负债和所有者权益(或股东权益)总计(万元),97687,56539,57271,55876,46919,47633,36236,38112,36957,38031,		
  
