报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),80390,47009,66346,52443,75090,91320,23256,12116,14074,20367,20023,22700,11674,53389,22643,36560,52278,63867,73730,106950,93299,121980,137849,96204,107219,91582,112432,127733,159370,40102,21891,10998,
结算备付金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),568,308,244,469,749,139,100,11,--,--,--,--,597,61,83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),100080,71307,45628,59084,59688,39206,41153,38066,35357,31274,58300,65154,74093,67884,71211,70043,53181,59254,61088,56677,54654,47604,43833,49283,39993,45993,43589,43672,27959,3184,3564,2077,
应收账款(万元),145190,143051,142612,112161,102540,100908,88407,70387,69914,82463,68459,59042,70769,74190,65272,67018,59934,49637,44048,47994,48137,44667,37505,36973,39267,39803,34514,31708,35549,22896,19238,15048,
预付款项(万元),13730,18653,13658,30045,12227,9781,8437,30844,20254,12122,10614,16316,10341,13564,7489,30205,39068,23164,26818,35106,28619,29833,25344,35661,32801,29992,31890,31155,29097,20751,17236,15076,
应收保费(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),18750,17385,15404,16229,15598,19472,19900,10304,10095,10745,11047,13842,9157,8991,8912,6819,6768,6828,4855,2994,1078,2038,1773,10794,756,935,699,771,1166,1337,1724,451,
