报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),489062,525474,452933,441513,423497,496041,539548,549607,522955,356882,341244,324463,200727,189915,308042,277338,180070,210018,246540,246644,176248,166240,215547,226381,195002,225213,244304,248548,223076,286898,278873,297334,260051,290709,260541,140768,120213,119011,89987,89212,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
交易性金融资产(万元),22,11223,11100,10984,10871,10764,10674,10600,10532,10463,26595,21424,26499,31551,31225,30862,32668,22272,2048,2011,2077,2015,2056,2108,1961,1984,1927,1902,1884,2026,2066,2102,2136,2011,2141,2318,2166,2057,2188,1151,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收票据(万元),3939,11286,9400,9730,1295,596,722,782,214,211,332,2746,114,1467,197,263,60,60,146,310,110,73,83,70,20,109,98,98,--,--,--,--,--,0,0,0,--,--,--,--,
应收账款(万元),206376,111703,155944,77308,216181,112710,143042,48018,177972,105039,126210,55677,138918,61694,122600,65264,140167,52486,103626,39209,103559,53632,87122,28734,95474,58829,64785,23662,83921,51126,78496,38355,78357,28183,65436,36271,26066,26291,21488,25305,
预付款项(万元),95516,73216,71383,57765,77493,50895,68095,40489,70008,88163,61312,48164,42788,43605,39561,34487,21303,34517,20268,16691,17703,18282,4353,2842,2733,1590,1091,1330,1728,1410,1028,591,1178,882,1335,1110,493,797,407,1146,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收利息(万元),6248,6622,5698,7186,1282,1368,1301,130,1842,1249,661,278,--,--,--,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
其他应收款(万元),--,23555,6133,23966,20526,18520,14710,10271,8951,10534,10763,7334,5977,6644,5827,3552,4881,4049,2744,2280,4032,3694,2722,2263,3212,3594,3977,1294,1925,1629,2321,886,1240,1726,1293,2288,2083,1824,3129,2048,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
存货(万元),104743,107942,101512,123954,88877,70364,84309,95836,86322,74738,55707,78872,69001,50386,46062,66888,94186,59273,54385,71780,67994,27113,40291,35156,45941,25233,40613,34828,51380,20993,38921,22553,47704,21855,38515,18496,19670,19668,16638,17183,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
一年内到期的非流动资产(万元),--,3000,3000,3000,--,--,3600,3600,--,--,--,5000,5000,5000,5000,25000,25896,25896,25000,5000,--,25000,25100,70100,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,
