报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),80862,65933,30148,41022,28466,26782,22631,34873,29403,13013,15601,41711,29077,27023,25351,43120,39305,40875,32243,36407,32723,31986,35521,40873,37101,39618,40480,45586,43385,45205,4096,6508,3140,603,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),13771,11272,11944,15461,11794,8301,5848,8901,6103,8060,1744,2415,4155,3004,1017,1866,1746,1631,723,691,257,485,720,1326,32,--,--,--,--,7,0,0,0,0,
应收账款(万元),169068,148003,123522,113438,102014,80344,73180,66979,63176,43514,36205,36225,36997,33711,27547,28015,23555,23166,15901,15484,14238,12839,11907,15105,11429,11285,9559,9555,6947,6237,4623,3131,2360,1266,
预付款项(万元),23082,20054,13686,8504,13039,12676,13017,5361,10615,5819,4273,3093,3565,2855,2779,1942,4765,4174,2758,1676,3119,2200,2140,1642,2869,1179,1643,287,413,531,499,610,589,101,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,--,47,139,163,--,69,97,18,6,47,20,22,18,67,24,39,114,28,79,99,261,189,210,139,498,323,493,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),12416,10535,8927,4575,7609,5988,4929,3468,4014,3805,3626,2896,2949,2778,2189,1648,2203,2300,1773,1307,2133,1781,1245,966,1705,1484,1193,583,726,864,647,329,150,195,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),154045,129472,103077,91259,80689,75720,54096,48811,48572,45273,30564,32373,29490,23537,27015,28054,26787,24017,4387,6098,4782,4598,4169,5008,5867,4181,3667,2634,4285,2330,1915,2170,1691,974,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),5892,6015,48633,65594,61667,74159,75595,109092,105593,44762,43906,26055,19918,22873,13530,8,11,4,4,3,11,16,--,16,12,21,31,3,12,21,31,5,55,0,
流动资产合计(万元),459135,391284,339983,339993,305443,283970,249364,277583,267493,164251,135966,144788,126174,115799,99495,104679,98412,96281,57816,61744,57362,54164,55891,65146,59156,58266,56895,59141,55767,55196,11810,12752,7985,3139,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),10361,10448,8335,5416,4546,3540,3527,3563,3554,2706,2710,1530,1599,--,--,--,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),2864,2891,3768,3802,3836,3871,3905,3940,3974,4008,4043,3165,3193,3220,3248,3275,2966,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,48526,--,26820,--,24973,--,24371,--,22802,--,21734,--,21060,--,20782,--,12145,--,8928,--,8621,--,8520,--,7233,--,6959,--,5556,0,5305,1520,0,
累计折旧(万元),--,8251,--,6856,--,6152,--,5434,--,4628,--,3752,--,3253,--,2700,--,2898,--,1862,--,1535,--,1349,--,991,--,746,--,547,0,380,174,0,
固定资产净值(万元),--,40276,--,19964,--,18821,--,18938,--,18174,--,17982,--,17808,--,18082,--,9247,--,7065,--,7086,--,7172,--,6242,--,6213,--,5008,0,4924,1346,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),51044,40276,19779,19964,19062,18821,18806,18938,18312,18174,17084,17982,17758,17808,17874,18082,9345,9247,6953,7065,7058,7086,7150,7172,6241,6242,6172,6213,5038,5008,4927,4924,1346,1010,
在建工程(万元),10134,17719,26848,14843,10966,5363,1276,554,411,315,258,129,800,851,544,478,5711,7874,7017,6087,5261,3803,1813,804,883,43,31,34,53,6,0,0,1511,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),35717,36175,35130,35498,35442,35599,35958,5082,5266,5469,3744,3861,3821,3850,3953,4048,4450,4558,3131,3197,2249,2312,2359,446,439,450,443,412,421,406,413,420,449,65,
开发支出(万元),3080,2674,1950,1590,860,562,447,414,391,391,330,310,96,39,--,--,--,--,--,--,553,470,289,1001,787,593,505,300,--,--,0,0,0,0,
商誉(万元),177986,177986,167672,167672,167673,167673,164757,164757,164757,164757,43573,43573,43573,43573,43573,43573,41252,41252,539,539,539,539,539,539,--,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),1619,1765,1876,1877,1742,1565,1622,1498,808,517,230,247,186,199,65,75,86,77,34,40,45,51,57,--,--,--,--,--,--,--,65,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),6052,6096,6125,6235,6579,6215,4956,5104,4601,4832,3202,3197,1420,1034,1052,1083,613,574,371,395,235,202,194,214,132,135,114,133,102,94,0,65,37,0,
其他非流动资产(万元),6169,3298,2899,1425,861,1402,1493,6257,119,122,139,57,253,148,128,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
非流动资产合计(万元),305028,299328,274384,258323,251567,244610,236749,210108,202194,201292,75315,74053,72701,70724,70437,70649,64423,63583,18045,17323,15941,14464,12403,10176,8483,7465,7266,7095,5615,5516,5407,5411,3344,1077,
资产总计(万元),764162,690612,614366,598316,557010,528580,486113,487690,469688,365543,211281,218841,198875,186524,169932,175327,162835,159864,75861,79067,73302,68628,68294,75322,67639,65731,64161,66235,61382,60712,17217,18164,11329,4216,
短期借款(万元),80640,51690,10400,--,--,--,--,--,800,1120,--,--,--,--,--,60,--,--,500,856,--,--,--,--,--,--,--,--,--,--,2500,2500,300,200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,36026,28375,24486,18899,12897,10473,9238,10192,7660,5082,6019,3989,1129,1669,3058,3664,2722,1033,2439,1086,663,659,2993,839,374,430,181,47,--,0,0,0,0,
应付账款(万元),--,83936,69264,70212,58882,49719,33453,34985,31984,26469,15933,19813,17979,15738,14279,17106,12792,14179,7204,9018,7550,3701,3218,7336,4573,4510,3926,3790,3652,2987,3276,3673,3115,1262,
预收账款(万元),39731,35221,33734,26412,26956,26266,22754,23257,26610,23825,21519,23989,19389,14759,16430,17034,14972,12120,808,733,673,700,1051,912,693,262,271,284,753,1132,883,1174,843,444,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),2888,2660,1637,4231,2315,1874,1594,3010,1388,1067,686,1670,539,523,571,1383,490,459,2,271,13,18,20,75,31,25,64,21,19,18,25,18,35,24,
应交税费(万元),5488,2795,3108,10532,1788,3711,2999,7585,2370,1130,1498,4046,1735,2065,1190,2148,687,453,561,449,-45,-297,-227,1058,328,300,93,1452,175,269,49,763,341,93,
应付利息(万元),--,67,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付股利(万元),--,75,--,--,--,--,--,--,--,16,--,--,--,--,--,--,--,1567,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),22873,32283,31121,31032,31387,37810,39603,39806,39359,36021,14434,13941,860,592,557,484,771,543,217,226,444,435,189,96,125,220,93,131,100,260,68,40,36,337,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,3689,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,103,--,--,--,--,--,--,--,--,--,0,21,0,0,
流动负债合计(万元),291660,244754,177639,166905,140225,132277,110877,117881,112702,97309,59152,69478,48179,34805,34695,41273,33377,32043,10325,13992,9824,5219,4910,12469,6589,5690,4877,5861,4746,4667,6801,8189,4669,2359,
长期借款(万元),5100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),205,200,206,225,226,265,301,300,351,290,312,272,288,325,273,274,248,255,262,196,233,205,192,162,157,170,153,172,124,134,102,103,54,26,
长期递延收益(万元),27548,26282,16268,16302,16232,16565,2200,2234,1928,1986,1198,1198,1175,1175,1175,1175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税负债(万元),346,388,180,195,209,224,239,254,293,310,56,58,61,63,65,87,103,120,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,8607,12295,--,--,1153,1153,1153,1153,--,--,--,--,--,--,--,150,150,150,150,150,0,0,
非流动负债合计(万元),33198,26869,16654,16722,16667,17054,2739,2787,2573,2586,1566,1529,10130,13858,1514,1535,1504,1528,1415,1349,233,205,192,162,157,170,153,322,274,284,252,253,54,26,
负债合计(万元),324858,271623,194293,183627,156893,149331,113617,120668,115275,99895,60718,71007,58309,48663,36209,42808,34880,33571,11740,15341,10057,5424,5102,12630,6746,5860,5030,6183,5019,4950,7053,8443,4723,2384,
实收资本(或股本)(万元),72955,72982,72982,72982,72982,72812,72812,72812,72812,66531,60269,60269,60269,32412,16390,16390,16390,16390,10800,10800,10800,10800,10800,10800,10800,10800,10800,6000,6000,6000,4500,4500,4500,2000,
资本公积(万元),272637,273129,283618,283371,283525,280127,278112,277703,276463,173490,68025,67799,65878,90788,94817,94660,94660,94660,39505,39505,39505,39505,39505,39503,39503,39503,39503,44303,44303,44303,895,895,500,0,
减:库存股(万元),12826,22019,27838,27838,27838,34867,38461,38461,38461,8551,12295,12295,12295,12295,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
盈余公积(万元),2860,2860,2860,2860,2216,2216,2216,2216,1555,1555,1555,1555,1157,1157,1157,1157,1032,1032,1032,1032,976,976,976,976,878,878,878,878,425,425,425,425,150,0,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),97333,86518,85332,80076,66865,57032,56227,51373,41200,31811,32092,28578,23966,21465,17804,16617,13260,11398,9970,9594,9342,9341,9494,9234,8742,7701,6951,8871,5634,5033,4343,3901,1455,-169,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
