报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),35093,43046,39035,28191,26627,20670,17608,19766,20283,17379,14319,14773,17964,18461,17536,25356,26061,27954,21932,23998,37887,38197,36181,35896,38672,48537,4667,6720,9356,6012,6490,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3736,1158,895,1417,481,835,361,340,450,171,196,579,1092,923,57,1085,978,1776,1684,2069,1120,930,15,183,326,1029,1084,1013,175,336,7,
应收账款(万元),15188,15632,17231,19167,15371,17379,16163,16714,14318,12344,7104,7857,8437,7545,6374,5946,5691,6027,6584,6981,6216,7591,7198,6713,5340,4150,3600,2967,2803,3035,3146,
预付款项(万元),16036,9030,6610,3314,2223,2356,2425,3091,1190,413,165,172,178,142,2198,1891,1204,1190,2680,3629,4694,2062,2872,3238,4079,2109,999,2943,521,1038,1029,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),5,23,2,7,--,0,6,11,6,2,66,57,25,64,77,115,75,96,61,69,60,401,213,233,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),859,876,646,401,1766,284,384,298,355,285,445,347,455,356,486,506,651,363,446,347,408,430,451,419,420,427,1125,388,95,65,64,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),46772,34372,25040,21512,18854,17070,16290,17139,15619,16533,13586,13904,14364,14438,15183,14831,13967,13052,10996,12062,11485,11164,14396,16446,18168,16845,16044,12111,9276,6758,9036,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),13235,10718,10314,15098,15355,21065,20019,15060,15288,22119,16034,15030,14027,17514,17500,10780,12302,14500,16000,13000,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),130924,114856,99773,89106,80677,79660,73257,72419,67506,69245,51915,52718,56543,59443,59411,60510,60928,64957,60383,62153,61870,60774,61327,63130,67004,73096,27520,26141,22227,17245,19773,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),38,38,30,30,30,30,35,35,35,35,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,59231,--,58764,--,56644,--,54277,--,53522,--,33949,--,24206,--,24305,--,21359,--,19330,--,18170,--,14270,--,13424,--,12712,12381,11651,9868,
累计折旧(万元),--,23389,--,22493,--,20456,--,18629,--,16834,--,10426,--,7501,--,6790,--,6032,--,5504,--,4855,--,4327,--,3882,--,3458,3052,2308,1657,
固定资产净值(万元),--,35843,--,36271,--,36187,--,35648,--,36688,--,23523,--,16704,--,17515,--,15327,--,13826,--,13315,--,9944,--,9542,--,9254,9330,9342,8212,
固定资产减值准备(万元),--,145,--,1796,--,1796,--,1796,--,1796,--,1681,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),36756,35697,33987,34475,33916,34391,33697,33852,34613,34892,21354,21842,21992,16704,17092,17515,17738,15327,13546,13826,13188,13315,10461,9944,9327,9542,9148,9254,9330,9342,8212,
在建工程(万元),1370,1187,1299,1196,346,342,1362,1361,1375,1186,1583,1433,1268,565,385,534,585,2738,3786,2473,2017,2006,2032,1961,1596,1527,1326,140,--,--,324,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),7858,7961,8041,8181,7880,8006,8118,8014,8134,8260,5672,5694,5730,4394,4411,4163,4192,4222,4252,4281,4261,4284,4314,4337,4367,4390,4394,1942,1966,1244,725,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),58487,58487,58825,59192,58617,58617,58617,58617,58617,58617,699,699,736,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),11,6,7,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),750,796,1037,1339,1395,1403,1256,1146,1075,1019,496,457,431,412,337,289,269,262,141,134,108,111,104,91,67,57,42,42,61,53,37,
其他非流动资产(万元),5209,4528,3115,1436,2125,1420,832,1095,1019,1228,1606,1591,1448,1484,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),110478,108699,106339,105853,104308,104209,103917,104119,104868,105237,31445,31715,31605,23560,22225,22502,22784,22549,21725,20715,19574,19716,16912,16333,15357,15517,14909,11378,11356,10640,9297,
资产总计(万元),241403,223555,206112,194958,184985,183868,177174,176538,172374,174482,83360,84433,88147,83003,81636,83011,83712,87507,82107,82868,81443,80489,78239,79462,82361,88613,42429,37519,33584,27884,29070,
短期借款(万元),1500,1500,1500,3500,2000,3500,3500,3500,3500,3500,3500,3500,3950,--,--,--,--,--,--,--,--,--,--,--,--,4000,4000,4000,4000,4000,5000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
