报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),839027,816656,797728,507049,458828,341269,616925,691481,473800,330056,371654,353099,344929,301421,434944,531511,470876,288192,263118,320188,375129,334724,336126,334414,321106,365099,302539,350200,307122,407363,118683,131197,143224,197039,152722,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
交易性金融资产(万元),9833,26548,40674,7586,294,19341,4077,4522,174,106,77,145,1625,--,2343,--,2323,10231,1770,4543,--,--,3866,0,--,--,--,--,--,361,0,384,0,12354,3395,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,
应收票据(万元),179464,85327,222130,140418,72714,44848,95376,76121,99039,43450,176853,122237,81440,51017,137371,210745,472370,304154,371708,259580,107705,120897,133826,77320,133496,160086,287138,90163,142662,64889,69535,52556,20681,--,24232,
应收账款(万元),105366,61717,42970,74709,108405,44094,49890,39688,60562,34792,52591,29637,28847,15240,93259,86804,26755,61070,83260,62849,24092,36737,27368,26236,2272,74065,2041,58478,3392,7423,2559,1925,491,9332,9937,
预付款项(万元),329605,166239,655349,301038,397997,283316,396750,513473,323738,201420,340015,253500,151676,82927,498726,299254,366663,261928,340455,255873,190022,209686,290752,262953,243180,200745,183063,139475,91629,61153,76842,45997,20593,39517,40036,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1441,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,0,2786,0,
其他应收款(万元),188132,151808,206491,229651,259712,186421,186930,101927,131380,171566,111008,55465,17995,5463,4203,4023,3301,3994,43604,55643,65321,87255,86111,35129,14594,3762,4683,3753,2999,1722,890,944,1357,8149,441,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,
