报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),22573,26419,34279,45579,35655,17424,35569,15935,8458,17836,9462,26129,10957,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),603,180,1272,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),9168,8042,7489,5558,13015,8348,10070,8358,6831,9182,3452,4662,7344,
预付款项(万元),9567,8773,6858,1634,15184,8534,6071,3051,2667,4305,3606,2449,6016,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3152,4546,4630,5845,2975,2947,9028,2550,1678,2041,2204,3632,5608,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),6624,6791,5544,3452,4293,2834,4097,3708,5797,4906,4791,3485,10540,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4261,22552,972,647,503,230,81,87,84,--,--,--,--,
流动资产合计(万元),55947,77303,61044,62715,71625,40318,64915,33689,25515,38270,23515,40358,40465,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),30000,--,12000,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,110437,--,110348,--,100355,--,99763,94798,77794,73831,--,33687,
累计折旧(万元),--,39797,--,36402,--,32266,--,28850,21473,18210,15193,--,6160,
固定资产净值(万元),--,70640,--,73946,--,68090,--,70913,73324,59584,58638,--,27526,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),68918,70640,72234,73946,66543,68090,69248,70913,73324,59584,58638,47559,27526,
在建工程(万元),38661,33645,29313,28133,30648,27856,25642,24446,14278,10971,11694,10196,6788,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),78385,78461,78562,78658,77087,77235,77260,77323,74764,73288,71225,18411,11990,
开发支出(万元),177,177,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),501,501,501,501,501,501,501,501,501,501,501,501,501,
长期待摊费用(万元),3541,3487,3350,3354,6436,6140,4935,4964,4636,3203,2855,4788,992,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1199,1134,1220,1226,1126,1089,1112,1105,849,592,585,259,262,
其他非流动资产(万元),5151,5680,8409,2909,11359,7604,7889,6304,2408,8682,7802,3296,8737,
非流动资产合计(万元),226533,193725,205588,188728,193700,188514,186587,185556,170761,156821,153300,85010,56796,
资产总计(万元),282480,271028,266632,251444,265324,228832,251502,219245,196276,195091,176815,125368,97260,
短期借款(万元),--,--,2166,12500,42200,42200,52034,41700,27000,29000,32000,--,300,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,2400,5400,3000,3000,--,--,--,
应付账款(万元),6059,4901,3850,6731,5249,6351,8188,12085,10719,17129,19713,7048,3762,
预收账款(万元),4014,704,104,691,1670,827,1549,1490,3630,1384,1021,2139,1595,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),553,544,491,1537,557,450,435,1613,1227,469,1525,1795,939,
应交税费(万元),3614,2810,460,4013,2552,3679,1057,2968,4690,4241,2320,1975,478,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,68,--,--,--,--,--,--,--,2621,--,--,8500,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),8428,7996,9012,9649,2411,2728,2552,3369,2175,1502,1266,960,1343,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
