报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),6906,5803,8864,15160,6013,6106,5789,8319,6491,5206,3667,7523,4544,5300,6029,5927,7119,12256,11689,13132,12320,11609,15131,11316,13411,15629,18507,20773,22474,25166,27785,29084,30735,30572,3670,3575,2457,1548,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),141,144,252,4056,3680,5800,6390,300,--,--,869,390,--,53,283,90,15,--,43,135,--,5,60,91,140,35,447,625,611,300,406,621,--,0,173,20,32,95,
应收账款(万元),13471,12621,13369,14300,17352,22621,20266,26833,23570,18866,17756,14209,17685,15065,13695,12616,15767,14527,12798,12131,12407,18023,15560,17047,19949,18337,15829,13823,15046,12302,11116,9701,11979,10948,8252,7352,7687,6012,
预付款项(万元),1134,1013,939,504,9984,1541,1545,356,878,917,976,698,716,732,657,420,834,919,563,442,1375,721,881,551,3483,2737,3219,2251,2556,626,756,503,1210,969,758,875,1062,350,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
