报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),98179,133161,61580,92252,86084,70502,67258,77890,103429,106624,89012,152341,154312,91644,91903,152903,230554,96956,96489,114839,164249,167809,170071,221530,270367,192249,112243,200373,223024,197429,175697,185425,231059,217322,150656,261029,285858,253605,163250,219906,208242,195604,169303,173493,159932,156596,131081,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,10020,8040,10431,16338,9800,9936,9800,14800,18800,9800,500,890,3000,1500,1000,--,--,--,--,1714,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,80,89,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),2022,3253,2597,3919,2274,2607,4711,2628,5781,4187,5296,4140,3084,3535,3977,3138,3373,3914,4820,8417,7965,8835,8943,7676,6145,5737,7708,4948,1902,2620,2673,5302,4813,2805,4908,1840,2206,1174,1449,1797,1874,1283,422,4525,813,681,663,
应收账款(万元),24377,28240,19418,25559,10374,12751,9053,11883,12617,13030,10779,14756,13058,11987,12703,12334,11471,7178,7410,9088,8017,9843,7366,8279,8588,6834,4874,6395,5438,4396,3643,3898,5586,6283,4857,18990,14404,11257,11811,18427,20559,16980,16982,14218,12425,12790,8535,
预付款项(万元),5469,5672,4332,6309,4570,4740,4107,5860,5839,6037,5536,7142,11285,7729,10120,16845,17745,18197,8853,10499,11514,10349,6611,14114,8222,8759,3643,10565,9896,7232,7550,12476,16708,10154,4847,9328,6040,4164,2811,55636,57343,40015,36939,38284,16815,14468,17688,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,22,--,--,--,--,--,--,43,30,18,309,168,177,--,--,47,47,--,--,24,105,--,--,--,12,23,23,23,379,--,0,--,67,--,0,--,--,--,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,116,116,--,--,--,10500,--,0,--,0,--,0,--,375,--,0,500,500,0,0,0,0,
其他应收款(万元),64312,48515,46783,45584,44775,43940,44140,40803,35855,--,40807,42317,40170,49389,51109,55256,52199,64823,46044,41800,59152,42091,40058,69079,64842,61116,57625,59141,40122,38584,38740,30278,42444,43194,43130,49282,53265,45048,29998,29844,30191,33284,26673,22684,21735,29362,19790,
