报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),15578,15383,15241,14547,18501,16204,24328,7838,6803,7787,5407,4078,7428,1890,642,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,1,40,494,30,821,648,350,--,160,343,71,
应收账款(万元),6771,6221,5377,1969,2116,4090,3287,2396,2163,1791,647,1036,801,661,434,
预付款项(万元),5451,4134,5447,3712,3938,1305,1053,824,761,1640,1066,1098,1228,475,932,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),155,171,215,228,234,199,215,523,563,561,436,176,224,77,183,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21232,22566,21988,20866,19121,22132,20409,16241,13397,7184,9059,10338,6652,3791,3068,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),609,596,286,340,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),49796,49071,48555,41661,43912,43970,49786,27852,24508,19611,16965,16726,16492,7237,5330,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,3000,10000,10000,10000,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,37928,--,36483,--,34086,--,33589,30055,--,18808,17111,16577,12112,--,
