报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,
货币资金(万元),4248885,4508776,5537798,4827420,4165744,3421902,3529210,1793125,1944482,1669921,1498094,1291002,1049206,1644624,1063875,748288,980787,1757024,2757915,1649732,1787596,1792127,1753297,1343551,1771362,1687528,1044661,1287677,1647936,1399987,1499676,940537,1349436,1207887,741060,637141,736773,500217,464760,464515,486239,541386,421929,322396,225639,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22609,8705,9334,75957,60918,54048,35559,23155,3981,6460,16740,19543,23925,16260,22612,17222,53661,45330,50930,38840,13552,15714,27636,29102,0,12475,682,15742,10735,
衍生金融资产(万元),37690,31654,25840,35333,39227,33101,28093,41281,731,737,853,15882,23314,1434,30805,16251,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
应收票据(万元),1354546,1677724,1400302,1085423,1551845,1088439,874785,742749,1094812,1498722,1689971,1288915,2581787,2622938,2755180,1709723,1834312,1804167,1794929,1415053,1526886,1338631,1497595,1238642,1485381,1392639,1663404,1026595,2053863,1857487,1888805,555399,937210,1101670,865633,762139,760831,663433,302702,308665,337254,341781,183638,152378,217510,
应收账款(万元),1910180,2053787,1975216,1752872,1736046,1938087,1802661,1345451,1272602,1329312,1203373,1037172,1077124,1361708,1348787,936210,1047185,1273309,1550066,792844,1066572,1254084,1439016,986457,1432543,1605100,1194681,990316,1164551,1442039,1153614,691110,959357,1131302,993058,692758,604355,727655,569290,404667,435355,548066,433903,228236,390625,
预付款项(万元),238310,188582,191303,167225,210505,206580,203745,158737,210691,161033,146392,98863,172386,181380,209398,141447,187197,189487,195780,243242,237576,196287,252110,180248,272358,241558,325713,306795,709176,615165,685874,470572,522823,352544,378799,186963,215545,147217,166484,126842,228160,198621,303502,108420,108641,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,
