报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),173541,160726,204302,148521,139205,82355,91291,129118,154404,82625,88223,113456,116708,92415,120948,113283,94893,80149,97441,111880,133809,72506,103612,89033,87855,76802,67919,96544,106330,61027,67892,90694,106147,109205,132915,155492,160824,23678,31207,20254,19828,6514,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,0,
交易性金融资产(万元),4967,5850,3593,1064,960,889,2397,1388,2513,2215,366,194,1,31,785,573,252,1830,97,1458,1095,1047,969,605,114,658,1428,18416,80,278,1444,152,124,196,51,163,771,116,42,--,266,327,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,0,
应收票据(万元),1051,1839,1620,774,1921,1100,917,817,1265,553,753,602,1182,1015,921,832,2548,2969,2622,2599,2647,1775,1105,1141,1704,1880,3177,4361,7114,5643,2676,1236,5967,489,530,384,6114,53,10,1055,0,232,
应收账款(万元),109614,221900,164086,114581,76029,186900,121193,89799,57547,125685,95829,64022,55611,113798,75308,51661,49619,105092,60346,41396,46974,94515,48069,31138,36127,67891,35425,20085,17556,44915,21897,10452,13604,36511,16031,8651,8326,21089,13557,9728,6097,3986,
预付款项(万元),42485,134613,104377,84667,74474,96966,74378,81366,52006,84072,97044,37849,16774,33559,39039,56559,22292,59455,66227,44157,39393,49742,78262,88252,46671,59925,84263,45577,33729,50614,92359,93054,47283,26102,18947,17224,15895,17346,18249,12340,11560,4407,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,0,
