报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),26934,53619,63102,14724,14897,14624,2246,15231,10239,2998,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),83,113,178,254,515,1099,303,--,126,16,
应收账款(万元),25939,28835,29594,30939,45071,28458,18466,20172,14148,9536,
预付款项(万元),126,127,207,224,153,117,292,410,290,343,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5926,4157,3132,1867,2196,2922,2646,2444,1703,1322,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),101474,94935,85875,79649,55924,83931,62491,52350,39578,22278,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),6262,14398,5973,6085,--,--,--,--,--,--,
其他流动资产(万元),1227,1144,--,--,--,--,--,--,--,--,
流动资产合计(万元),167971,197328,188060,133743,118757,131151,86445,90608,66085,36493,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),4703,4703,10852,10626,16486,5800,6737,--,--,--,
长期股权投资(万元),10426,250,248,254,260,265,263,270,259,300,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,3340,--,2745,2713,2593,--,2328,--,--,
累计折旧(万元),--,1362,--,1196,1125,988,--,860,--,--,
固定资产净值(万元),--,1978,--,1549,1588,1605,--,1468,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),2584,1978,1895,1549,1588,1605,1476,1468,1566,1486,
在建工程(万元),16738,227,214,205,195,120,120,4,--,107,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),630,632,612,623,676,665,297,187,192,37,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),500,500,--,--,--,--,--,--,--,--,
长期待摊费用(万元),543,491,529,572,503,538,560,489,261,218,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),694,714,605,602,671,502,478,424,254,157,
其他非流动资产(万元),79,1691,--,--,--,--,--,--,--,70,
非流动资产合计(万元),36897,11187,14955,14430,20378,9496,9930,2843,2531,2374,
资产总计(万元),204868,208515,203016,148174,139134,140647,96375,93451,68616,38867,
短期借款(万元),12730,21230,21480,10250,11657,14790,9315,6950,6945,2900,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),536,--,30,30,995,--,--,--,370,248,
应付账款(万元),36660,39230,37147,48203,41495,46500,33056,33379,30327,14716,
预收账款(万元),--,--,1117,56,--,--,--,70,93,501,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),597,515,443,419,453,428,455,511,461,369,
应交税费(万元),514,746,820,1902,978,3961,2703,3208,3545,1980,
应付利息(万元),1006,691,401,63,991,136,292,40,16,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),4160,6213,4380,4019,6065,224,1152,1037,346,716,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2500,2500,--,5500,6500,9000,5000,--,--,--,
其他流动负债(万元),1784,2012,1165,1173,1490,--,--,--,--,--,
流动负债合计(万元),60486,73136,66982,71616,70624,75040,51973,45194,42102,21430,
长期借款(万元),7957,--,2500,2500,3000,3000,4000,5000,--,--,
应付债券(万元),14292,14160,14029,13900,13666,13435,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,4000,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),22249,14160,16529,16400,16666,16435,4000,9000,0,0,
负债合计(万元),82735,87296,83511,88016,87289,91475,55973,54194,42102,21430,
实收资本(或股本)(万元),17271,17271,17271,12953,12953,12953,12953,12953,12500,2403,
资本公积(万元),65439,65439,65439,12738,12738,12738,12738,12738,9691,8419,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3080,3080,3080,3080,2010,2010,1034,1034,303,635,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),36251,35336,33620,31290,24044,21369,13571,12523,4011,5903,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),122041,121126,119410,60061,51745,49070,40297,39249,26505,17360,
少数股东权益(万元),91,93,94,96,100,102,105,8,8,77,
所有者权益(或股东权益)合计(万元),122133,121219,119504,60157,51845,49172,40402,39257,26514,17437,
负债和所有者权益(或股东权益)总计(万元),204868,208515,203016,148174,139134,140647,96375,93451,68616,38867,		
  
