报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),13788,13700,45748,20196,15489,13944,16298,13833,11706,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),3358,1397,1256,2179,1311,2606,4927,5268,3886,
应收账款(万元),8802,7788,7382,4819,6366,4528,3912,3218,2679,
预付款项(万元),198,386,854,811,740,241,373,50,43,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),446,197,66,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),18,33,97,32,37,22,14,12,7,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),3304,3656,3050,3494,2841,2590,2817,2816,3130,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),33073,33178,16,237,357,555,529,--,119,
流动资产合计(万元),62988,60334,58471,31769,27141,24487,28870,25199,21569,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,17975,--,17323,--,17057,--,--,--,
累计折旧(万元),--,3997,--,3364,--,2150,--,--,--,
固定资产净值(万元),--,13978,--,13960,--,14907,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),13688,13978,14195,13960,14450,14907,1574,1698,1770,
在建工程(万元),--,--,--,--,--,--,12361,6146,234,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),2509,2526,2544,2564,2606,2644,2728,2811,2886,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),72,65,61,119,295,318,90,72,28,
其他非流动资产(万元),320,320,--,--,--,83,--,83,11,
非流动资产合计(万元),16590,16890,16800,16642,17351,17953,16753,10811,4930,
资产总计(万元),79578,77223,75272,48411,44492,42440,45623,36010,26499,
短期借款(万元),1536,2071,1838,1357,1234,1090,--,--,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),4393,2316,1480,2868,1787,2488,4787,3644,2052,
应付账款(万元),2400,2806,2515,2341,2970,1398,1629,1933,2558,
预收账款(万元),127,198,177,161,160,176,83,211,86,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),208,68,68,345,69,355,358,279,209,
应交税费(万元),501,468,272,158,285,317,290,264,175,
应付利息(万元),2,3,2,2,2,2,4,--,--,
应付股利(万元),--,--,--,--,--,--,--,1413,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),421,535,1691,542,467,785,478,570,115,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,7300,100,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),9587,8464,8044,7775,6973,6610,14930,8414,6196,
长期借款(万元),--,--,--,--,--,--,297,2371,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,20,40,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,297,2391,40,
负债合计(万元),9587,8464,8044,7775,6973,6610,15227,10805,6236,
实收资本(或股本)(万元),10000,10000,10000,7500,7500,7500,7500,7500,7500,
资本公积(万元),31496,31495,31204,6757,6757,6757,6757,6757,6757,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),3330,3330,3330,3330,3072,2698,1967,1280,623,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),25165,23934,22693,23049,20190,18875,14172,9668,5382,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),69990,68759,67228,40636,37519,35830,30396,25204,20262,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),69990,68759,67228,40636,37519,35830,30396,25204,20262,
负债和所有者权益(或股东权益)总计(万元),79578,77223,75272,48411,44492,42440,45623,36010,26499,		
  
