报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),24577,27486,30619,39483,38868,25673,27094,30482,33373,41055,35558,31226,33803,34347,37435,39660,40122,40899,38501,35367,36931,37392,35961,37866,38220,10047,7694,6624,3154,1633,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,400,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,6216,3225,3385,--,60,60,60,10,85,105,60,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),7726,7561,122817,99676,99472,6973,8090,7575,7749,5704,6335,7074,6521,6330,5970,5563,6487,5230,6018,6441,5872,4470,4819,4717,4279,3353,3000,2523,1278,1092,
预付款项(万元),3579,305,6807,7032,3799,298,921,913,918,1010,880,931,634,613,6882,3711,3808,3896,3785,3712,3948,3635,3501,390,496,469,404,41,8,19,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),87,34,44,40,61,144,187,243,158,139,174,77,156,229,266,241,140,293,114,270,98,578,462,359,--,--,--,--,--,--,
