报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),156606,179658,172407,142067,238901,270246,202660,189163,188729,175617,173861,134790,126532,104222,131222,142999,149833,157516,180716,200642,194411,176850,166528,164837,101301,112800,101467,66027,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,2890,--,--,--,--,--,--,--,--,--,--,59,155,78,30142,20539,20583,10870,1366,1483,93,20337,92,76,1380,--,251,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),17086,27815,39970,28684,32396,37873,43319,34581,34100,32842,39891,31355,29999,35001,50126,40341,37590,43331,51676,39185,30492,31520,46450,24050,27552,48971,42952,21284,
应收账款(万元),195947,175699,173356,174995,168287,143442,113060,123692,101894,106022,93309,99614,91188,85487,71727,81925,102478,76891,56333,65025,65678,71616,68827,79270,73418,58266,30943,36559,
预付款项(万元),11187,11201,5255,15817,14500,22337,12238,23820,23251,20345,25504,11637,11562,11285,16818,16796,9367,9729,9724,19841,19544,22754,12325,13250,12875,14569,18822,3319,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),180,244,171,224,106,283,255,409,344,755,591,446,813,526,562,342,915,1126,744,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),24510,17203,16657,24438,20688,19841,7370,13231,11270,9037,7628,17256,9244,8001,5669,13479,10909,14103,7091,10980,11938,10995,5961,8914,7547,5466,7881,187408,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),74549,62160,62910,59455,51267,49315,50642,44213,39266,43142,42167,24698,24207,20711,24496,21371,21668,24322,25056,26611,28726,25300,25750,21237,21787,25178,17351,22240,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),23994,38910,41864,26310,10671,6284,50123,36513,41256,38274,37008,20934,35674,63898,54969,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),504060,515779,512590,471990,536817,549621,479666,465620,440110,426033,419959,340731,329278,329286,355666,347394,353299,347601,342209,363651,352274,339128,346177,311650,244556,266629,219415,337087,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
