报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),49512,43757,50876,68258,41001,51291,48431,63740,68188,63719,52310,56879,41038,49019,34820,36401,36404,31425,27857,29134,27705,25267,18461,28905,25660,26974,23770,42211,39122,46984,42757,49697,53518,58423,55929,62740,61451,22157,15291,20697,16085,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
应收票据(万元),56159,83765,73703,61098,71226,83343,71881,42660,47172,51709,49812,31530,37543,34164,40492,32356,22563,27917,24770,22645,20843,24052,29956,21710,27459,28249,16227,14792,13502,7761,7697,6213,7817,4766,7326,3077,5651,2892,3757,433,611,
应收账款(万元),66172,72168,81131,74002,69806,67009,89059,76901,72849,74527,79025,64580,44978,68548,65683,65798,58745,63838,61358,55298,48215,53245,47298,42963,43365,44225,42650,37430,41564,46154,46693,39224,35359,38088,34935,32867,29192,25687,18684,19970,14723,
预付款项(万元),6359,3547,4912,4010,5976,3068,5464,4301,3417,3251,3331,2189,1956,1780,3290,1821,3675,2777,2848,2159,4667,5909,7585,3141,9691,7962,9120,4211,10704,16257,9311,4752,13028,7500,8883,2248,4318,2100,1215,1150,1081,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,
