报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),91742,63013,46734,77054,57268,78813,49774,111631,22437,82314,40551,64777,51143,45495,65403,36710,40510,19563,23284,49830,46056,90876,93340,91219,96848,92906,113359,110145,96921,95325,98816,135665,9701,18225,9251,4988,8090,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4500,--,--,--,0,--,--,--,--,--,--,0,0,0,383,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),7317,5586,7575,7057,3171,5057,1909,1810,2656,--,4738,7680,1640,952,1447,1558,6383,5958,6014,453,5,27,559,1899,520,0,--,1378,256,158,60,120,0,50,0,0,0,
应收账款(万元),175212,179995,157951,162128,159066,115854,108418,94031,102423,87385,79775,83339,82872,70878,45266,47240,55346,52886,46647,47678,60685,49537,30756,23890,38247,39760,22877,23652,32093,22860,21363,11605,14058,14391,9476,9743,5430,
预付款项(万元),75227,48781,47295,18154,72002,44092,37493,17760,22043,25851,9306,4633,60007,61677,21578,3833,14061,10305,6021,4441,7032,10050,15514,9775,5762,10526,24102,13400,26913,10662,11460,8975,9982,6179,2831,11063,5821,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,67,183,664,314,617,184,20,67,159,195,54,451,334,116,299,1275,1287,1095,1088,788,861,1209,164,--,0,--,1628,623,952,--,--,0,0,0,0,0,
应收股利(万元),--,1678,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,695,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),11351,9701,7930,7437,11503,11127,6983,11446,6348,6633,17842,5159,5492,1495,1400,1219,848,1051,613,340,769,834,466,327,437,369,405,313,519,511,400,303,232,329,567,3647,463,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),107653,86331,79201,85009,69972,62183,48538,39332,42132,34654,29397,30053,30833,35649,29916,35181,39549,31711,27317,24498,24150,27239,31194,31937,37269,52627,47630,41525,28022,25197,20379,9524,9272,8203,8262,10210,3509,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),19007,18975,23882,23758,3046,4188,5087,3686,2647,1650,1203,1111,--,--,--,--,--,--,--,--,70000,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),79166,64387,45052,66558,102406,104326,147205,157520,64831,50998,50637,72881,113364,54609,10993,54113,41090,52960,48443,53949,--,--,--,9,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),566675,478515,415804,447820,478749,426257,405589,437235,265585,289643,233643,269686,345802,271089,176118,180154,199061,176417,159434,182276,209485,183923,173038,159221,179083,196188,208373,192042,185346,155665,152479,166192,43246,47377,30387,40036,23314,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),11651,11651,12443,11200,12696,12696,12696,12696,12696,9496,9496,9496,9496,9496,5600,5600,7600,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),65452,90956,77078,42216,29095,14636,4879,1988,20555,--,--,--,2972,1441,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),28453,28724,30529,28073,26164,23248,23488,14738,9226,9268,9114,8769,9011,8523,7916,16126,15892,26548,26920,17395,11228,11990,7990,7990,5990,5990,--,--,--,--,--,--,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,413956,--,306885,--,305935,--,304164,--,108174,--,96980,--,97305,--,95972,--,93434,--,89270,--,54298,--,53974,--,40526,--,39951,--,36743,--,28963,0,28199,27864,0,0,
累计折旧(万元),--,50757,--,44385,--,37185,--,30158,--,23729,--,19429,--,16938,--,15013,--,12094,--,10314,--,8341,--,6983,--,5649,--,4875,--,4055,--,3308,0,2692,2048,0,0,
固定资产净值(万元),--,363198,--,262500,--,268750,--,274007,--,84445,--,77552,--,80367,--,80959,--,81341,--,78956,--,45957,--,46992,--,34877,--,35076,--,32688,--,25655,0,25508,25816,0,0,
固定资产减值准备(万元),--,2053,--,2248,--,2347,--,2347,--,2849,--,2238,--,684,--,684,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),370467,361145,276492,260252,263508,266403,269637,271660,263727,81596,76041,75313,77359,79683,77726,80275,79949,81341,82162,78956,70380,45957,46105,46992,46971,34877,34683,35076,32938,32688,32674,25655,25222,25508,25816,8807,8202,
在建工程(万元),124273,90780,138265,137511,46569,36558,52272,14668,12451,79416,69836,65593,9599,6134,5601,742,871,1721,1366,409,5346,19767,11895,5476,1530,147,167,147,222,161,129,2039,1946,1400,497,2594,755,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),27176,27182,24803,24957,25096,25151,25301,18121,18187,18262,10904,10830,12425,11474,11540,11604,12693,11736,11801,11866,11932,11908,11973,12039,12104,12170,6483,6519,5838,5871,5891,5923,5956,5988,4270,3256,1068,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),6396,6396,6396,6396,6451,6451,6010,4324,6682,6212,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),6443,7079,6075,4106,1585,1826,808,643,78,87,95,103,19,43,56,--,6,12,17,23,30,31,24,--,--,0,--,--,--,--,--,--,27,6,12,23,35,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
