报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),211542,136711,135129,121123,73304,80461,122208,142329,133743,161456,160417,103229,84100,45792,35191,58421,43028,63551,91350,122996,75683,84362,114581,142259,178141,183725,191584,199360,194656,207038,206901,234000,10172,10298,7953,3358,2642,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收票据(万元),97,94,1662,--,--,7,4717,6714,11,142,1252,2525,404,596,3396,4412,1656,2356,1348,4119,558,2766,4421,4271,1819,2006,1732,1637,5159,4573,2297,2051,1908,1087,728,1446,441,
应收账款(万元),41389,39919,31011,29723,31608,27703,23531,21931,49595,55465,61887,55121,65990,60112,47195,41818,62754,62858,64085,59214,66080,52707,48014,44035,40683,35938,32256,31277,27017,22466,21235,19471,15152,12397,9179,7967,4077,
预付款项(万元),6560,4140,2276,1752,3405,3471,4109,3306,12500,8732,6024,6391,9502,5605,4320,4974,9733,10534,13683,12864,17909,21509,18936,10901,11071,4603,7206,7043,7144,2179,2045,651,3114,2128,3146,112,613,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收利息(万元),--,77,604,614,534,530,531,734,550,51,65,131,97,160,139,308,290,341,210,197,100,619,325,2569,2774,2217,835,3355,2411,1869,703,--,0,--,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
其他应收款(万元),51102,55094,67032,50103,87232,87275,86493,65938,31320,29537,54274,51832,69195,87947,100692,96561,23383,23646,23089,32669,39989,29366,21105,14894,30399,3737,1039,679,1039,1132,1171,609,509,286,101,2349,1503,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
存货(万元),24363,20892,22518,21064,21711,19766,15844,15504,14310,12800,16995,14459,15209,17397,16813,15568,39736,37986,38130,36827,34747,24870,21698,19671,5700,5756,7165,6456,6585,6318,6217,3697,3878,3652,2323,1861,974,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,--,5,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
其他流动资产(万元),305,309,320,304,471,474,669,419,1422,1593,3069,2966,27,303,88,10,108,155,102,125,172,146,106,88,126,162,121,59,87,119,118,195,61,57,32,13,20,
流动资产合计(万元),335359,257236,260554,224684,218264,219688,258104,303211,243451,269776,303983,236655,244525,217910,207835,222071,180687,201428,232009,269011,235244,216346,229187,238688,270712,238144,241938,249867,244098,245695,240685,260674,34794,29905,23461,17106,10270,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
可供出售金融资产(万元),10770,10770,10770,10770,10820,10720,10720,10720,11890,11890,11890,11890,13640,11850,11850,11850,11840,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
持有至到期投资(万元),5350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
长期股权投资(万元),22909,22755,22072,21919,23372,23270,22855,22831,78343,77600,60370,60296,46967,46847,46809,47632,--,11840,11840,11840,7250,23013,7250,1170,1170,1170,1170,1170,1170,--,--,--,0,--,--,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
投资性房地产(万元),2928,2970,2990,3022,8492,7580,3004,3067,3129,3192,576,607,1315,779,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
固定资产原值(万元),--,115637,--,129321,--,127523,--,104574,--,106742,--,105530,--,75082,--,76555,--,84933,--,76408,--,57528,--,57068,--,37184,--,36761,--,14825,--,12761,0,12195,11796,0,0,
累计折旧(万元),--,41741,--,42296,--,39140,--,34951,--,32134,--,28037,--,26231,--,24222,--,26689,--,21448,--,13855,--,11515,--,6750,--,5148,--,4582,--,3901,0,3263,2652,0,0,
固定资产净值(万元),--,73896,--,87025,--,88383,--,69623,--,74608,--,77493,--,48851,--,52333,--,58244,--,54960,--,43673,--,45553,--,30434,--,31612,--,10243,--,8860,0,8932,9145,0,0,
固定资产减值准备(万元),--,440,--,440,--,457,--,457,--,511,--,511,--,425,--,454,--,67,--,67,--,67,--,67,--,67,--,67,--,58,--,55,0,55,55,0,0,
固定资产(万元),72253,73455,75127,86585,84083,87926,67307,69166,72917,74097,75545,76981,46735,48425,50430,51879,59888,58177,58309,54894,46380,43606,44471,45486,29765,30367,31071,31546,10977,10185,8753,8805,8808,8877,9090,9553,9249,
在建工程(万元),61956,59900,58265,65881,56108,52922,71214,66961,67411,65201,64014,62593,83334,81023,77399,76790,79293,81343,74538,68375,71398,53106,47054,40694,35327,27027,16542,11502,27258,26750,25684,23771,18859,17948,1163,673,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,302,300,300,300,2,17,15,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,16,16,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
无形资产(万元),13463,13909,14354,16378,19361,19509,15346,15555,22752,23461,24209,24889,19726,20325,16103,16557,90092,91444,92793,94409,98175,85955,85677,87827,5023,3271,3302,3328,3362,3371,3364,3389,3415,3441,3493,1336,1364,
开发支出(万元),141078,135162,130948,128680,120007,114928,115610,110636,104511,100185,95482,92331,98721,96475,91533,88816,83665,80725,78820,24064,25299,4764,3902,3098,1524,2727,1872,1123,724,614,610,355,273,242,77,276,0,
商誉(万元),10682,10682,10682,10682,10735,10735,10735,10735,46958,46958,46958,46958,95072,95072,68949,68949,94599,94599,94599,87293,85431,25660,25660,25660,--,--,--,--,--,--,--,--,0,--,--,675,675,
长期待摊费用(万元),1169,1315,1580,1937,2250,2338,2738,3123,3934,4144,3810,4274,4623,4835,4733,5158,4367,2366,2677,559,387,188,193,203,128,91,99,68,74,66,71,76,770,668,593,44,12,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
递延所得税资产(万元),3732,4085,4068,4332,4534,4949,5104,5090,6061,5967,5550,5548,8370,7945,6949,7068,3260,3049,3288,3138,1960,2232,2340,2201,2171,2099,1865,2102,1576,1403,1356,1271,920,817,720,528,182,
其他非流动资产(万元),12117,13894,13179,12726,13998,14804,11832,11308,4214,3853,3087,2747,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
非流动资产合计(万元),358407,348897,344034,362913,353759,349681,336466,329191,422121,416547,391507,389130,418503,413577,374756,374700,427004,423545,416865,344573,336279,238524,216548,206339,75107,66751,55920,50839,45444,42690,40137,37968,33047,32009,15151,13084,11481,
