报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),3339,12428,40052,37247,25813,29519,53214,5969,9841,10887,11842,19030,2406,2028,3500,1997,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,6,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),14791,11302,6886,6145,3690,3629,3638,3073,3478,5506,4095,4120,4907,3395,2056,1976,
应收账款(万元),29940,31719,26384,18053,12987,12442,11359,11045,9598,9207,8912,10323,9007,8691,5847,5827,
预付款项(万元),2774,460,878,734,729,297,553,480,533,269,413,449,145,251,246,525,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),448,546,423,370,420,327,680,374,286,304,147,105,514,158,168,219,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21929,17018,12623,11531,10428,7585,6416,6068,5798,5163,4927,5127,4844,3667,2719,2452,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),24505,23074,2421,4162,21608,21487,836,888,588,698,635,329,193,15,--,--,
流动资产合计(万元),97726,96547,89668,78242,75675,75287,76696,27897,30121,32033,30971,39483,22016,18206,14542,13003,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,350,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,44015,--,21685,--,19077,--,13508,--,13173,--,12660,12494,12015,--,--,
累计折旧(万元),--,7502,--,6803,--,6257,--,5820,--,5397,--,4995,4601,3855,--,--,
固定资产净值(万元),--,36513,--,14882,--,12819,--,7688,--,7776,--,7665,7893,8160,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),38088,36513,16756,14882,14020,12819,7765,7688,7579,7776,7547,7665,7893,8160,8495,7707,
在建工程(万元),6115,3833,15900,14704,11911,9371,11645,9581,6410,4110,3547,2640,1537,83,16,670,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10581,10656,7807,7794,7854,7914,7951,8000,8044,8073,8129,8186,8299,8550,5000,4885,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),253,272,227,160,118,117,103,102,92,89,82,92,84,77,55,52,
其他非流动资产(万元),5064,4445,5185,4180,4057,3127,2459,1857,1614,220,404,156,105,--,--,--,
非流动资产合计(万元),60451,56070,46225,42069,38310,33699,30273,27579,24088,20618,20059,19089,18268,17220,13916,13665,
资产总计(万元),158177,152616,135893,120311,113985,108986,106968,55475,54209,52651,51030,58572,40283,35426,28458,26668,
短期借款(万元),13900,9000,6000,1500,2000,--,--,--,--,--,--,4760,4864,6750,5700,5840,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,11,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),11222,10974,8753,5137,3501,3229,2116,2005,3022,3683,3631,2820,2874,2572,1923,2748,
应付账款(万元),31801,32303,23311,18139,14564,12087,10884,10088,8221,7138,6439,8156,7954,5990,3399,3577,
预收账款(万元),500,464,514,536,574,583,595,603,585,570,526,517,388,334,294,296,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),276,695,611,359,227,510,384,285,188,391,273,216,436,335,301,359,
应交税费(万元),508,343,449,414,-6,113,16,98,187,184,131,216,204,292,71,101,
应付利息(万元),17,8,7,5,8,--,1,2,--,--,--,17,13,11,11,10,
应付股利(万元),--,--,--,--,--,--,--,--,1050,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),630,661,190,292,138,213,330,201,594,402,607,1365,493,470,499,299,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),58855,54448,39834,26383,21005,16735,14327,13282,13846,12368,11607,18068,17238,16756,12199,13230,
长期借款(万元),--,--,--,--,--,--,1328,1328,550,--,--,1900,1150,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,1328,1328,550,0,0,1900,1150,0,1,1,
