报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),44343,30336,49261,29277,18630,34764,43657,29424,43477,33516,71177,44116,83609,12988,23927,19987,22857,28425,31289,42069,43411,46418,50165,51083,49474,53911,57433,64336,5365,3096,1259,1212,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4602,3477,7615,7564,5793,3901,4110,3023,5936,3971,10394,5119,7675,7660,11537,6553,4312,4230,6536,3402,3159,2927,7246,5771,4318,3455,4681,3533,5367,2659,2488,860,
应收账款(万元),83142,70035,72271,79443,75427,70984,75149,86276,83935,85359,83086,90227,86496,77070,76828,80097,74636,67572,63727,36783,31714,23817,23456,24341,22009,18422,17073,15252,12173,9287,8128,6236,
预付款项(万元),9027,7472,6193,10862,8305,7912,5298,7774,3924,3316,2320,8450,6654,10215,6890,7092,9835,5452,4640,1786,1473,1311,1239,1033,1540,1234,394,639,681,297,379,441,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,29,33,22,360,215,173,--,536,364,344,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他应收款(万元),6903,7798,8016,12685,5541,2790,2943,26867,25882,23157,3668,2888,2861,2524,2042,4200,4141,3268,2872,1408,1238,992,770,1050,1115,787,630,667,547,330,415,455,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
存货(万元),52909,58109,48341,42604,39875,40210,38077,34006,31603,32841,35153,37069,38441,41122,42640,41164,36416,33090,31059,21697,21580,22373,17426,14257,12927,10810,9515,10091,8937,7362,6170,3435,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),5280,16071,4064,14601,23720,22992,1830,--,0,8004,26,23,17,18,9,5,4,1,8,--,--,--,--,14,16,--,--,7,--,--,--,--,
流动资产合计(万元),206206,193299,195761,197037,177292,183554,171064,187370,194756,190164,205823,187892,225753,151596,163873,159098,152245,142068,140164,107167,102934,98052,100474,97548,91936,88984,90070,94525,33071,23030,18839,12638,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),350,350,350,350,350,350,200,1700,200,200,200,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),6698,6698,6584,6557,26449,24525,41998,45814,43614,61878,59393,56168,61676,30260,33107,11733,196,80,19,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),22752,22553,22553,21757,22030,22346,21690,16269,16266,10264,10264,4326,4375,4234,4236,1393,1402,1391,1404,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2613,2632,2651,2547,2565,2583,2601,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),52543,--,51726,--,43734,--,42591,--,40384,--,40300,--,39710,--,35469,--,34762,--,33577,--,13458,--,13234,--,11516,--,11375,--,10882,9993,6978,5422,
累计折旧(万元),15046,--,13729,--,11888,--,10397,--,8476,--,7468,--,6614,--,5368,--,4746,--,3810,--,3191,--,2903,--,2551,--,2207,--,1909,1707,1280,923,
固定资产净值(万元),37497,--,37997,--,31846,--,32194,--,31908,--,32831,--,33096,--,30101,--,30016,--,29766,--,10267,--,10331,--,8964,--,9167,--,8973,8286,5699,4499,
固定资产减值准备(万元),19,--,58,--,58,--,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),37478,37063,37939,32554,31787,31889,32136,33459,31908,32316,32831,33351,33096,34448,30101,29965,30016,29707,29766,10038,10267,10174,10331,10235,8964,9122,9167,8982,8973,8286,5699,4499,
在建工程(万元),16169,10241,9421,7214,6443,4851,4388,15914,12443,10233,9868,1853,1826,1727,28,28,7,7,7,17276,15678,13105,7771,5091,4613,1758,1273,38,--,711,789,48,
工程物资(万元),3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),25437,25619,26149,22460,18073,18453,18630,8746,8925,9175,10919,11526,11806,11278,10568,10838,11109,11367,8837,1504,1514,1527,1528,1535,1539,1547,1556,1555,1551,1567,1361,2,
开发支出(万元),687,548,483,555,425,380,332,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),57054,57054,57054,59729,37962,38067,34081,34595,29939,29939,29939,29797,29797,29718,24205,24205,24205,24205,24205,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期待摊费用(万元),1166,998,782,569,539,473,484,430,259,257,286,316,341,369,406,291,170,110,53,14,16,16,17,19,19,--,--,--,--,--,--,91,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3328,3171,3402,3311,3237,3155,3116,1962,1917,1839,1699,1390,1346,1244,1253,1051,987,891,883,485,438,322,317,273,235,206,188,88,121,88,90,62,
其他非流动资产(万元),4297,4269,2347,1694,7345,1383,1094,1241,1274,888,882,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
非流动资产合计(万元),178034,171196,169715,159297,157204,148457,160751,160441,146745,156990,156281,138728,144262,113278,103904,79505,68091,67758,65174,29317,27914,25145,19965,17153,15370,12633,12185,10664,10645,10653,7938,4701,
资产总计(万元),384239,364495,365476,356334,334496,332011,331816,347811,341502,347153,362104,326620,370015,264873,267777,238603,220336,209825,205337,136484,130848,123197,120439,114701,107306,101618,102255,105188,43716,33683,26777,17339,
短期借款(万元),3400,2400,1500,2000,2000,2000,2000,9000,14900,23900,22900,1500,35900,29444,24544,12542,8498,6100,1809,--,--,--,--,--,2000,--,--,3000,3000,1200,3952,702,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),21259,16427,10059,6317,7925,10891,8715,6815,6957,8409,8609,11005,11836,10148,19335,18731,11136,8503,11093,8903,8059,4101,2352,1710,1100,425,506,2266,3117,1732,2485,935,
应付账款(万元),39360,38290,43685,41912,41853,41060,47689,57950,56907,52408,67803,50738,58183,32533,41136,31633,28323,24551,24756,13801,11709,9048,8521,7369,6794,6256,7678,6460,7642,5984,4394,2639,
预收账款(万元),25352,28409,29170,22307,19181,16311,14358,13328,13596,13514,12060,16359,18773,18088,16600,20672,20388,20150,18359,13223,13921,15412,15440,12640,8768,5948,6067,7274,6876,5772,5667,6392,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1465,792,1734,790,644,638,875,658,562,565,552,767,951,559,761,792,741,615,686,500,461,372,461,331,364,290,306,627,609,439,205,267,
应交税费(万元),656,587,1910,1074,2322,1004,823,518,1519,2640,4748,2164,3534,3054,3313,1259,1555,1212,1921,1176,760,-129,749,771,517,542,527,509,703,321,275,357,
应付利息(万元),--,--,2,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,133,133,133,163,302,302,283,285,311,311,258,258,33,33,--,--,--,0,--,--,--,--,--,700,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),19027,8347,9193,13760,1392,1385,1797,2114,566,1055,1008,7655,9506,11482,5022,2342,3372,2570,2423,160,223,177,145,71,33,18,48,46,37,87,17,1214,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),200,100,200,--,150,150,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
流动负债合计(万元),110719,95352,97454,88309,75466,73442,76359,90516,95140,102623,117843,90489,138983,105592,110996,88283,74324,63959,61305,37797,35165,28980,27668,22893,19577,13478,15132,20181,21984,15534,17695,12505,
长期借款(万元),4600,4700,4700,4800,4800,4800,4900,7800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
专项应付款(万元),25,25,--,120,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
预计非流动负债(万元),43,74,74,--,--,366,366,59,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),536,430,443,408,421,435,448,360,--,--,--,332,334,336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),816,889,945,959,353,393,434,380,415,450,486,521,556,745,700,755,792,829,865,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他非流动负债(万元),2800,2800,2800,2800,2800,2800,2800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
非流动负债合计(万元),8820,8917,8961,9087,8374,8805,8947,8598,473,450,486,853,890,1081,700,755,792,829,865,0,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),119539,104269,106415,97396,83841,82247,85306,99113,95614,103074,118329,91343,139874,106673,111696,89038,75116,64788,62171,37797,35165,28980,27668,22893,19577,13478,15132,20181,21984,15534,17695,12505,
实收资本(或股本)(万元),91080,88208,88208,88208,88208,88208,88208,88208,88660,44330,44330,44169,44169,38287,38300,38300,38163,19081,19081,16332,16332,16332,16332,16332,16000,8000,8000,8000,6000,6000,5000,3000,
资本公积(万元),104683,98796,98796,99142,99142,99142,99142,99142,99325,143655,143655,143029,143029,78952,78930,78843,78028,97022,96934,59895,59788,59682,59575,59468,57625,65625,65625,65625,6551,6551,3582,128,
减:库存股(万元),8760,--,--,--,--,--,--,--,837,837,837,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),5748,5748,5748,4879,4879,4879,4879,4879,4879,4879,4879,3403,3403,3403,3403,2876,2876,2876,2876,1929,1929,1929,1929,1350,1350,1350,1350,560,560,560,50,177,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),57444,53556,52153,53133,50886,50312,49303,51735,49620,49810,49541,42939,38647,36690,34640,28805,25463,25408,23648,20488,17591,16229,14887,14608,12754,13165,12148,10822,8621,5038,449,1529,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),250195,246307,244903,245369,243122,242548,241539,243963,241647,241836,241567,233539,229247,157332,155273,148824,144529,144387,142539,98644,95640,94172,92723,91758,87729,88139,87123,85007,21732,18149,9081,4834,
少数股东权益(万元),14506,13919,14158,13569,7534,7216,4971,4735,4241,2244,2209,1738,894,868,808,741,691,650,627,43,43,44,47,50,0,--,--,--,--,--,--,--,
