报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
持有至到期投资(万元),--,208986400,208353100,206088900,195714700,184304300,181440100,178974600,175026300,179079000,169117700,161498100,146608500,142446300,137145700,130003300,124457600,121053100,118781400,113572000,117385500,118308000,120099700,108473600,108230000,107411600,103710200,109074800,110004000,103938600,105098000,91828800,92215200,74469300,52081100,62452400,44561300,36583800,39721700,37794100,41264100,44664700,52267800,44515000,44537900,46114000,184965000,187766900,156232000,121846700,97763000,96150300,--,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,47414400,43058600,0,--,--,0,--,--,0,--,--,0,--,
长期股权投资(万元),1708200,1718000,1613700,1614200,1570700,1405900,1332500,1244100,1163200,1084300,1812300,1757900,1616100,1437900,1414900,1400300,1374700,1336800,1306600,1258200,1257300,1238200,1320000,1260400,1388900,1329300,1188300,1231600,1269300,1263100,1150600,1103200,1101000,1066800,916000,763900,765700,737600,706800,707000,684400,677900,670600,640600,627500,593100,1459000,1477500,1539300,807400,801700,--,84164500,296200,549600,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
投资性房地产(万元),2084900,2102600,2095600,2165400,2163300,2165900,2284200,2209900,2079400,2328100,2257400,2251700,1869600,1865300,1847500,1842400,2059100,2027100,1792100,1734000,1764000,1714200,1661800,1631300,1498400,1461600,1391400,1413500,1434500,1383900,1619200,1587700,1585900,1595200,1300400,1021900,952600,963700,1036300,997500,956300,998600,930200,958400,821800,822100,--,0,--,--,0,--,--,0,--,
固定资产原值(万元),--,30908200,--,--,--,28998000,--,--,--,26913800,--,--,--,25099800,--,--,--,23138800,--,--,--,21359200,--,--,--,19282800,0,--,--,17132300,0,0,0,15196500,0,0,0,12668300,0,0,0,11585400,0,0,0,11404300,--,0,10642800,10773900,10822100,--,9351400,0,--,
累计折旧(万元),--,10236900,--,--,--,9401800,--,--,--,8568100,--,--,--,7760500,--,--,--,7121300,--,--,--,6208200,--,--,--,5354700,0,--,--,4669100,0,0,0,4091300,0,0,0,3662900,0,0,0,3348700,0,0,0,3032600,--,0,3195400,2899200,2318400,--,2143900,0,--,
固定资产净值(万元),--,20671300,--,--,--,19596200,--,--,--,18345700,--,--,--,17339300,--,--,--,16017500,--,--,--,15151000,--,--,--,13928100,0,--,--,12463200,0,0,0,11105200,0,0,0,9005400,0,0,0,8236700,0,0,0,8371700,--,0,7447400,7874700,8503700,--,7207500,0,--,
固定资产减值准备(万元),--,109900,--,--,--,106500,--,--,--,142600,--,--,--,119600,--,--,--,120700,--,--,--,118600,--,--,--,104700,0,--,--,106400,0,0,0,109800,0,0,0,115600,0,0,0,125900,0,0,0,189400,--,0,149600,216100,419600,--,--,0,--,
固定资产(万元),20124700,20561400,19457100,19749900,19607300,19489700,18072500,18194600,18031900,18203100,17430300,17011200,16875400,17219700,16156600,16128100,16015600,15896800,15162400,15060300,15157800,15032400,13979500,13857700,13814400,13823400,12709100,12714600,12439400,12356800,11297100,11156900,11151500,10995400,9864100,9642800,9073900,8889800,8172400,8196500,8078200,8110800,7856300,7913800,7994800,8182300,6988600,7120800,7297800,7658600,8084100,6780300,7207500,5241100,4262400,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,417800,394000,334200,271600,323300,765900,752600,0,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
无形资产(万元),1891500,1883500,1439500,1434100,1440600,1454200,1362000,1360400,1371000,1385400,1300300,1302700,1305800,1321700,1267000,1250600,1260900,1281900,1230700,1235600,1218800,1235800,1181900,1192900,1199100,1195500,1168300,1181200,1128300,1136500,1138300,1150200,1181600,1191000,1204300,1213700,1229300,1225000,1213200,1225500,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
商誉(万元),240400,248100,239600,243700,247400,247300,251200,249900,243800,244900,202400,195200,196100,195300,196000,196300,200000,198200,185000,176700,179100,179600,181100,173200,174800,175200,177900,181200,183600,185100,187200,189900,197100,192900,190700,187800,187600,187700,171000,172100,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
递延所得税资产(万元),5360400,4648700,3780900,3182100,3174100,3434100,2582400,2451600,1972300,2224600,2264500,2305800,2387300,2504300,2229500,2098000,2284700,2292800,2099600,2093900,1863100,2129200,2037800,1798700,1990400,1951600,2411500,2191500,2205400,2404100,2140200,2255900,2172900,2351800,2521900,2232800,1496300,1606700,1498700,1384900,1468500,1620200,1791900,1635000,1428800,1924400,1788800,1741000,1756100,1962800,1251500,--,--,0,--,
其他非流动资产(万元),25970300,22870500,26212500,26200200,26087200,21054500,21968300,21639000,21240800,17903400,18892200,20913600,17888700,16008700,16277800,17888000,15882900,15626600,15206000,15386700,15363000,14267700,13348400,14945500,12858900,10434100,10512100,11665300,11317200,8750000,10817100,7779800,8610000,7221900,8580700,7540100,6742100,6182500,7264800,6747500,9290700,8211600,10311800,13738900,7203600,6447100,--,2187500,1881000,2306000,3806500,11968400,5809800,5729400,7113700,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
资产总计(万元),2015982600,1946742400,1942243800,1942598000,1891754900,1814888900,1785750300,1760126700,1703996900,1681559700,1667201800,1629859300,1601920500,1525138200,1542795700,1546909600,1510536700,1387429900,1362479300,1325620600,1324237800,1268061500,1274368500,1282559000,1289401500,1183006600,1152991200,1148349800,1124624300,1045986500,1010243500,968581200,972167300,875194300,834233600,821125900,792760900,695569400,659661500,648731300,634461200,599555300,602020900,583859100,560363700,533202500,526884600,522693300,474280600,427044300,397996500,353616900,336161900,316801100,290392200,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
向中央银行借款(万元),93474100,103579700,91399800,91606200,84978600,86709400,61635300,80656400,43506000,41570900,42173700,40358800,46269700,34827100,39166500,23042400,21328300,20093900,17287100,15978500,14191400,13002200,13275700,11594900,9525500,8145600,8583200,7242400,7412400,7341500,6931700,7007500,6951700,6161500,6960800,7248800,6035600,5559600,5648400,5154900,4646800,9048500,5402900,5598000,4419900,4237400,4171200,3049500,3005500,6959700,7784100,9500300,9863000,2229700,8987000,
吸收存款及同业存放(万元),1600855800,1508318600,1536236800,1532327200,1508427900,1436027500,1436344500,1401732000,1373350700,1349349100,1341824800,1348743600,1320493600,1266547000,1283054200,1301473500,1275023400,1164941000,1140329300,1107443400,1120598600,1072718700,1075961900,1106480600,1117004800,1018890400,929974200,941036900,941166300,881496700,870806600,842145400,852130100,758921500,691196000,693316200,678821600,577674500,543481700,533822600,504101500,472495900,470832300,467025000,451847500,426989500,440304800,441137300,370377700,334247700,303595600,275030500,247714300,283365300,251042700,
拆入资金(万元),20508300,24169200,22796000,31246200,24908500,18641700,19019000,19417800,25266700,26444600,24086100,18100500,19283300,18826900,29808600,40227800,30279200,26790500,26465300,25727000,26403400,24354300,25475200,25138400,25538400,23119800,22590400,25749200,18707100,15555700,15825400,12911700,11120900,10479600,34100200,21034200,17843700,19765400,16973100,14828400,30584200,--,0,22590400,0,14690800,35302100,35834900,--,--,0,--,--,0,--,
交易性金融负债(万元),1990500,2037200,1637700,1994800,1407600,1195800,1405400,1303200,967700,862900,1011600,1668200,1692900,1300000,1378100,1510600,1191800,768100,1059100,1159900,1243800,1406100,592900,638900,962000,210600,61259000,43605300,33337400,21587400,8465400,5223600,3608600,4423400,5482200,4398700,3469000,6754900,9715500,6813500,6303400,8665500,0,0,0,9872500,--,10117200,9117400,9376000,5097700,--,--,0,--,
衍生金融负债(万元),16497700,11109500,10233900,7190900,6849000,10710900,6228000,8441500,6043000,6916000,5361500,4863700,5688300,4073400,4031300,2926600,3086600,3621200,3080100,4131100,3478500,3245700,3557800,3197800,2881300,3547300,4106200,3490600,3257300,3571100,3409500,2992300,2447300,2322300,2652800,2436500,4518300,5948200,4378100,4088200,5015900,2726200,11827700,10176700,11013100,1432300,11025900,0,--,--,0,--,--,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,7872300,7785000,7635200,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
卖出回购金融资产款(万元),6376900,25840000,11740000,10708200,10341700,11637500,19155600,18580500,9034200,18349800,20575100,3467300,3058600,3706100,3271400,3367200,8575900,7136000,16626100,16483000,4102700,6946100,16267500,1602400,1602500,3464000,5729000,9841800,6819200,7524400,5526700,4793700,5874100,8184700,9699800,9613600,1662100,140200,1992900,7672100,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付职工薪酬(万元),2641100,3191000,2874800,2658400,2412200,3125600,2812500,2603600,2230600,3096600,2664500,2360700,2208000,3072400,2700900,2458700,2225100,2974400,2742600,2420300,2129700,2883300,2372100,2130600,1964700,2602400,2394500,2142300,1948200,2420100,2126200,1716200,1599800,2100600,1829200,1599400,1427900,1839400,1914900,1530700,701400,723100,679900,700100,725900,744400,--,0,--,--,0,--,--,0,--,
应交税费(万元),4247200,3452100,3195500,2720700,3274400,2805500,2965200,2303800,4240700,3798200,3557500,2902400,5001300,4163600,3920500,2973700,4970200,4003100,3204000,2531100,4095900,3499400,2900100,2015200,3717200,2935300,2642100,1843100,2737200,2277500,1861300,1257100,2117600,1780100,1536800,2267100,2591100,2482700,2042400,1421000,2587600,2104500,2307800,1538000,2182400,1814900,--,0,--,--,0,--,--,0,--,
应付利息(万元),18264900,19022600,18341900,17576100,17668400,18351600,17501600,16779100,16707700,17425600,16745500,15784800,15552400,16322800,16181400,15158000,13745000,13205200,12701500,11656900,11068700,10748600,10676800,9708200,8451900,7535200,7235400,6502900,5750700,5866500,6021400,5777200,5283400,4955500,5073300,5220500,5014100,5299900,5153300,4680600,0,--,0,0,0,--,3586800,3148500,2702400,2267400,2276600,2559400,--,0,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,3092700,--,0,700100,0,--,--,0,--,--,0,--,--,0,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应付债券(万元),50786200,49912800,48590700,43543300,38243900,36231800,35244000,30167600,28812500,28292900,27708400,26872700,26301600,27804500,28200200,25410200,23679400,22470400,21633300,21301100,21303300,19913300,18105000,17170800,16980500,16990200,16497000,16436500,13180100,13188700,13321600,13042000,8744200,7679800,8885600,6465500,6485100,6539300,6690100,6498100,6474500,6439100,6355600,6044500,6062400,6017300,6017500,6017700,6017900,2625300,382300,382300,616400,726800,865000,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,4776100,4962200,5216400,6954900,7722900,--,--,0,--,
预计非流动负债(万元),3011600,294100,412800,422400,449700,606500,222100,241800,254000,336200,270500,247000,236000,261600,182500,193700,188800,213900,194200,201000,231700,209100,205700,209500,241200,239600,176400,155600,144600,137200,145000,149600,143700,151000,147200,142300,186000,250300,206500,219200,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
递延所得税负债(万元),400100,401800,465800,459400,457400,450100,528300,486100,465100,429100,465200,474100,443800,428700,384800,387000,381400,338500,340400,320000,385200,383800,372900,336000,471200,448600,427600,445800,396700,391900,407300,375700,353500,338600,308900,271100,212100,209300,230100,250600,241400,289400,298900,294100,296200,302900,28100,25400,18400,98100,94000,--,--,0,--,
其他非流动负债(万元),38561200,37745900,38140200,47357000,39399300,35437000,36198700,35383000,33126000,29242300,30701200,37300600,28486800,25461300,25889600,27134600,24624700,24726000,24250200,27634000,24757900,22596700,21832000,23174000,20450100,19288200,18797500,19544900,18613200,17012800,15600900,14457600,14443400,13156300,13927400,16813900,13341200,13715600,13225000,15365200,18316700,18284300,19110600,17716200,15211600,15345900,--,11975100,13466500,12499800,19628900,9651000,2080800,3540500,4198200,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,28005900,--,0,--,--,0,--,--,0,--,
