报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),24073,21550,32480,47166,6584,8841,5730,4020,5026,2522,630,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5239,4548,6149,3978,3647,4676,1795,2480,2273,472,264,
应收账款(万元),36108,31250,24995,22578,23498,16344,11676,10565,10102,6165,1102,
预付款项(万元),1721,2604,1353,972,1294,557,538,527,303,600,341,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1113,1042,910,768,1066,571,515,578,671,400,77,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),15326,10814,12900,11054,10612,7650,5169,5321,3940,2355,1315,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),7047,12894,490,534,299,301,117,182,141,21,600,
流动资产合计(万元),90628,84701,79277,87049,47000,38942,25540,23672,22456,12535,4329,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),470,470,470,470,470,470,470,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,29,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,1975,--,1820,1598,1527,983,942,850,--,--,
累计折旧(万元),--,637,--,559,474,400,315,276,232,--,--,
固定资产净值(万元),--,1338,--,1261,1123,1126,668,666,618,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),1363,1338,1274,1261,1123,1126,668,666,618,393,100,
在建工程(万元),3896,3444,1959,1094,282,19,65,--,--,--,6,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),847,720,728,744,742,778,858,704,22,0,2,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),109,117,121,112,109,146,164,167,182,221,254,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1454,1188,1162,997,883,743,523,458,485,196,12,
其他非流动资产(万元),182,238,232,28,113,7,83,91,87,199,70,
非流动资产合计(万元),8320,7515,5947,4707,3722,3289,2830,2085,1394,1038,444,
资产总计(万元),98948,92216,85224,91756,50722,42230,28370,25757,23851,13573,4773,
短期借款(万元),990,1990,1990,3490,2500,2000,2820,4510,3921,3251,1970,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),6879,5730,4966,7925,4328,3913,2142,2413,2657,522,50,
应付账款(万元),13979,10174,8123,9010,10571,8719,5923,5481,5278,4214,581,
预收账款(万元),1473,994,4580,5151,3228,1647,701,250,178,184,282,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),777,664,580,1793,718,1375,565,254,432,295,116,
应交税费(万元),773,1662,740,530,1477,721,653,341,582,596,243,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,
