报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),89712,131761,184986,144549,120799,104047,120035,93825,69717,48458,46593,44943,46109,43615,48734,23036,22191,27671,38427,26072,27467,25790,29092,33464,25993,49551,53905,64632,36273,26538,27632,27998,53886,28266,25981,18658,13037,19348,28388,39666,13704,25469,41622,43084,24509,77670,29277,15380,13049,7445,3955,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,20,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收票据(万元),38452,65273,64472,41353,44812,65224,62855,27981,23148,19331,24155,15605,12070,14358,19184,16961,13258,20995,28494,26234,35864,26626,20147,14974,32832,13120,28136,60781,50450,32889,18572,15977,44428,49225,19855,12107,6891,6807,4664,7384,4620,12403,8165,7505,7327,13786,14665,8572,9751,3807,2243,
应收账款(万元),28289,34175,31746,27334,29934,29864,24193,29802,28707,40097,28754,30092,28187,34822,5076,4210,4396,5996,6997,7221,6103,5539,6575,5370,4031,5292,5081,4589,4911,3428,4270,3062,6960,5033,4871,4916,4303,5899,7484,5837,5503,8790,10172,8242,5779,7586,6802,6054,3994,6231,3906,
预付款项(万元),8010,27588,27947,21185,14365,16603,20163,20961,17200,20515,12907,12695,5970,7150,5209,2893,2487,9353,5575,6929,4020,12612,15738,13966,11620,12375,10731,14291,7763,20139,24600,32545,16082,23182,12970,29288,12178,21353,13210,12960,8560,26414,25244,18028,16737,15373,1104,1481,2439,1129,2250,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收利息(万元),141,--,657,--,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
其他应收款(万元),--,4442,3780,4384,3570,3871,3449,3572,3126,9346,7256,3041,4098,2411,749,732,695,846,859,930,932,321,477,436,550,388,374,269,183,314,332,886,213,521,389,358,504,2022,3117,3232,3194,483,439,309,337,460,262,219,234,276,196,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
存货(万元),70217,67343,54612,67729,49720,51842,50733,57580,44273,42593,37366,45277,35762,32109,20743,27864,23072,27926,38302,44110,38083,44549,37384,50875,33587,50973,51604,58761,58093,82655,132109,130818,78486,47819,100693,85802,53947,49224,30584,24820,26915,53435,86745,93308,71681,23177,25598,27924,25366,14792,13714,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
其他流动资产(万元),16821,10993,4560,3708,907,677,53,377,695,284,1104,2392,1195,1077,2559,2979,2149,1535,4195,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
流动资产合计(万元),255665,341574,372761,310242,264286,272128,281482,234099,186867,180623,158134,154046,133390,135541,102254,78674,68248,94323,122849,111496,112470,115437,109411,119086,108614,131700,149831,203323,157673,165964,207515,211287,200054,154045,164758,151130,90860,104653,87448,93899,62497,126994,172387,170475,126369,138052,77709,59629,54832,33680,26285,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
可供出售金融资产(万元),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,770,856,1230,1549,1977,2007,2278,2684,3081,3365,3296,2666,2853,2967,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
投资性房地产(万元),32,67,70,73,166,134,137,141,144,--,--,--,755,763,--,--,--,--,--,--,0,--,1821,1846,1872,1931,1957,1786,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,
固定资产原值(万元),444630,--,408026,--,405055,--,397138,--,394941,--,374150,--,374483,--,--,--,277692,--,266809,--,259940,--,256173,--,249969,--,255991,--,248894,--,244830,--,240165,--,222190,--,221426,--,150387,--,128676,--,121547,--,119202,--,--,--,71303,--,--,
累计折旧(万元),244181,--,232834,--,221236,--,209771,--,197630,--,185798,--,174574,--,--,--,126915,--,117109,--,107301,--,97484,--,87865,--,82922,--,73450,--,64227,--,54920,--,46270,--,37856,--,31418,--,26189,--,26332,--,21718,--,--,--,15305,--,--,
固定资产净值(万元),200449,--,175192,--,183819,--,187367,--,197311,--,188352,--,199910,--,--,--,150776,--,149700,--,152640,--,158689,--,162104,--,173069,--,175444,--,180603,--,185246,--,175920,--,183570,--,118969,--,102487,--,95214,--,97484,--,--,--,55998,--,--,
固定资产减值准备(万元),2803,--,2474,--,2474,--,2474,--,2474,--,1871,--,1871,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--,--,
