报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),26300,96631,60013,42972,37127,42191,38476,37705,48525,52819,70411,31988,45687,46192,73000,24700,20037,18909,19859,14927,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5010,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),22732,26382,11286,10037,6812,647,896,959,1300,2327,2950,1063,5370,2214,2817,1552,4369,6661,3526,1365,
应收账款(万元),7045,7277,9205,10691,9418,6446,5698,4068,3388,4095,4686,3806,3336,3277,5025,2668,2534,1620,2103,1783,
预付款项(万元),2120,669,2128,922,2287,1555,11892,10699,22750,11515,12583,11626,12283,12676,15763,13057,13967,11113,1312,821,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),546,--,188,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),85,74,88,114,157,85,91,80,186,159,65,55,134,125,299,183,164,147,184,100,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),6167,6589,5118,2923,2770,2711,3432,3177,3252,6408,10483,11729,13469,17791,13256,12873,11541,12731,6322,4427,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),60030,--,45030,60000,34,--,20,30,--,--,--,20000,35500,35000,4,11,--,--,4,--,
流动资产合计(万元),125025,137621,133056,127851,58606,53634,60505,56718,79401,77323,101177,80267,115780,117275,110164,55045,52612,56190,33311,23423,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),22340,21960,21960,21960,21960,21960,20960,20960,20964,20964,20964,20970,960,960,960,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),6384,6424,6913,6867,6863,6863,7490,7490,2108,2108,--,--,--,--,--,600,600,600,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),14396,14478,13515,9941,9991,10049,10094,10154,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,25357,--,15935,--,15944,--,15905,--,15888,--,15891,--,13659,--,--,--,10027,4304,4208,
累计折旧(万元),--,5334,--,4974,--,4562,--,4130,--,3570,--,2993,--,2484,--,--,--,1617,1157,810,
固定资产净值(万元),--,20023,--,10961,--,11382,--,11775,--,12318,--,12897,--,11175,--,--,--,8410,3147,3398,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),19716,20023,18058,10961,11292,11382,11555,11775,12037,12318,12631,12897,10972,11175,9047,9126,8231,8410,3147,3398,
在建工程(万元),7263,3760,3780,14232,14157,13866,3401,3291,2082,917,--,--,825,--,725,715,1431,863,3905,820,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4349,4378,4411,4427,4382,4413,4432,4462,4470,4500,4518,4371,4390,4412,4431,4292,929,933,953,929,
开发支出(万元),0,--,--,--,--,--,--,--,--,--,9,9,9,9,9,9,9,9,9,10,
