报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),133208,154038,205339,106783,173263,231560,233945,297298,288618,34860,46136,34049,87256,43073,36352,29865,32479,32767,32259,25757,30615,32419,32136,26797,20741,25015,32968,35419,35433,27306,33337,32607,32008,9278,14248,15138,10936,11593,15490,15981,19108,2576,4307,11617,1506,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,173,134,90,--,--,48,180,160,305,92,95,224,208,70,46,26,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
应收票据(万元),45773,34373,30774,13102,15672,8124,23679,12572,27452,18649,25899,21608,21202,16310,30661,24669,23871,20732,24444,19101,20415,12955,15395,11332,15331,7305,11110,4294,4475,2370,373,257,855,821,1242,863,358,199,288,171,319,605,470,280,--,
应收账款(万元),111578,93364,75358,111229,114175,108929,55354,81347,77631,75316,49319,81750,79252,68082,43186,61962,59419,49873,32641,45040,39822,41903,28693,35044,35529,34445,21020,26089,24760,25144,14510,17315,17879,16227,8243,9333,11323,8887,4622,6586,6411,6004,4297,4691,3300,
预付款项(万元),32797,34242,22521,20094,14700,10613,9107,19290,18686,17929,9457,7509,5605,14293,11704,2558,1378,1938,2298,3201,1985,4230,4126,2501,1662,1358,1303,864,1236,1420,2218,1573,1367,742,476,218,373,379,720,1168,715,542,386,595,628,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
