报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),530047,470269,385381,418939,428790,582632,330864,247711,188361,195172,266387,305502,291265,226494,257735,229224,220020,224745,246349,297085,284114,212989,434685,480580,373363,334285,436421,625485,582097,800959,1011788,286635,238039,239980,199475,256887,230830,203111,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
交易性金融资产(万元),--,32,60,61,62,63,106,106,103,104,237,228,229,228,204,204,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,202,177,4084,180,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收票据(万元),109597,137301,134884,98636,117467,112725,88835,66026,73258,97766,118828,104732,106439,135347,110557,126368,125214,115959,119961,95143,85939,73735,72789,59176,50108,45677,57764,61005,62281,64726,69101,57930,58149,57594,56491,49376,51769,32916,
应收账款(万元),253922,228047,270273,295168,268203,205749,273116,239436,223244,204454,230564,214597,200208,148381,179457,175445,153644,125511,145577,149730,127592,89193,104572,109742,91943,74249,87470,82807,82325,66288,73488,76106,71352,61149,64973,43465,35644,43102,
预付款项(万元),31747,20404,41211,26917,38121,39956,33294,44773,48236,42512,53450,54034,83163,79558,76648,51594,27941,32079,39350,26949,28167,21949,36572,62226,56488,51560,51622,45489,28129,20960,34570,37368,25410,15711,54422,23647,44830,33276,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,0,4,0,0,--,0,0,
应收股利(万元),4983,5129,15911,24465,6587,6587,11205,22227,1472,1472,8827,24278,520,301,15660,22298,16934,6669,11930,11860,12256,15940,23050,6625,12359,17088,28364,39060,13554,13541,19382,29296,19383,24727,25508,29838,16094,7976,
其他应收款(万元),47904,24319,26963,25781,32940,38170,32049,24756,22996,24045,38247,23478,19056,31009,38147,26025,12019,28534,18059,17914,16343,14897,19139,15914,81886,61727,79483,82995,114683,73121,29418,9603,12948,13209,43973,77237,65952,51715,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
存货(万元),31024,26692,19011,17054,18541,17289,17740,20441,23130,30651,39904,48191,20865,21947,26162,14691,13454,14743,13783,14543,13388,11374,12594,12050,11826,12301,10493,10170,12001,10216,12084,12723,16502,14064,13000,22243,18191,16381,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,42025,55075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10313,10313,10313,10313,10313,0,10313,10313,10313,
其他流动资产(万元),266789,267684,243266,278909,279768,142255,287291,223316,206805,214731,179143,146979,80547,131670,73885,83749,75623,83368,96551,84856,39134,32230,9339,3009,2202,1859,--,--,884,5340,15160,0,--,0,1384,--,0,0,
流动资产合计(万元),1276012,1179877,1136960,1185930,1232505,1200500,1074500,888792,787605,810906,935587,922018,802291,774934,778454,729598,644848,631609,691559,698079,606935,472306,712741,749322,680174,598744,751617,947011,895954,1065464,1275306,519975,452302,436924,463312,513186,473623,398789,
发放贷款及垫款(万元),13627,7036,6080,10865,13160,13427,16878,53308,55904,54447,54552,54433,55032,53777,25983,22364,16721,18844,10635,12807,45365,40908,42234,43260,48921,--,--,--,--,--,0,0,--,0,0,--,0,0,
可供出售金融资产(万元),28722,27920,27867,26930,26535,25522,26112,69970,37476,37546,36872,38649,37281,36714,33312,12282,8329,8548,8724,7133,8512,8376,6552,7128,7854,7569,7534,9512,10236,10069,10527,10482,13093,12682,8697,5900,21910,5821,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
长期应收款(万元),488,488,488,488,488,11385,72679,67761,61920,57477,84333,786,937,1086,1233,1377,1520,1661,1966,--,--,--,--,--,--,--,--,--,--,--,0,0,--,10313,20627,20627,94243,0,
长期股权投资(万元),814517,797354,784035,826235,832365,818872,833942,814551,830365,809973,787104,757028,774461,755868,719140,724264,736833,713774,689792,670154,616553,658280,539576,529004,462438,448059,412521,396444,418062,383618,359097,334578,357790,340879,379653,341216,299673,237313,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
投资性房地产(万元),37433,37510,35138,38092,36094,38612,28171,29035,30320,30841,46219,46731,34674,35205,34402,34895,35292,35513,35823,37358,37507,37908,33098,33496,33900,27129,27518,27901,28014,29524,26116,26304,27106,25971,15473,15424,11800,1423,
固定资产原值(万元),--,4006935,--,3728930,--,3482655,--,2849662,--,2774963,--,2660145,--,2612737,--,2482037,--,2458008,--,2231996,--,1987850,--,1698272,--,1605018,--,1438445,--,1396172,0,1193710,--,1045600,0,858357,731229,0,
累计折旧(万元),--,1103335,--,1026469,--,951205,--,828048,--,765295,--,719082,--,660877,--,608829,--,561432,--,516055,--,467385,--,425819,--,391998,--,359530,--,327983,0,299597,--,275644,0,233996,209014,0,
固定资产净值(万元),--,2903600,--,2702461,--,2531450,--,2021613,--,2009668,--,1941063,--,1951860,--,1873209,--,1896576,--,1715941,--,1520465,--,1272453,--,1213020,--,1078915,--,1068189,0,894113,--,769956,0,624361,522215,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
固定资产(万元),2860811,2903600,2929645,2702461,2578827,2531450,2269102,2021613,2006154,2009668,1923309,1941063,1966274,1951860,1847380,1873209,1899218,1896576,1812403,1715941,1686583,1520465,1448635,1272453,1213641,1213020,1109447,1078915,1077637,1068189,900960,894113,779713,769956,666265,624361,522215,514859,
在建工程(万元),457839,439109,443012,501408,507499,497725,861053,351243,366021,361997,366627,319312,278237,276644,390124,358155,362118,308954,351296,493288,492791,422165,458805,583230,593950,596572,635610,545794,506762,488637,578222,567727,549341,568910,472652,296879,190622,128011,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,5176,--,--,--,--,1280,0,1173,0,643,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,0,123,0,98,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
无形资产(万元),690878,698669,691185,657536,553213,551506,557700,524098,493671,497041,470594,473391,483739,486634,420758,423082,417229,429156,406727,374104,346648,326753,298936,303876,304250,320510,274189,273693,272439,279407,241310,245268,247239,249014,237081,202223,87380,82331,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,
