报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),29006,30161,25399,43705,103866,91698,99775,92501,105468,99383,109746,103741,35246,28104,26312,18987,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7374,6713,5807,7444,16988,18217,16047,17496,20851,26209,19779,18047,19475,15703,15061,13480,
应收账款(万元),63338,64604,54549,52227,22397,20200,17121,22695,17699,14556,20488,23209,14200,12187,12321,9356,
预付款项(万元),6333,3087,5440,3765,3358,2087,1440,843,1048,527,559,746,242,2609,1868,1230,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),4514,1674,3758,3941,612,667,670,2684,385,283,263,309,428,476,506,171,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),81131,68184,66369,51341,19366,14779,13974,13185,12486,11488,11536,12525,12254,10788,9383,9955,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4543,6314,1626,1758,266,688,5,5,5,100,5,--,395,--,--,--,
流动资产合计(万元),196240,180736,162948,164181,166854,148337,149033,149409,157942,152546,162375,158577,82240,69867,65451,53180,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),1250,2043,2017,2068,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1179,1179,1294,1294,--,--,--,--,--,--,--,--,--,206,--,25,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),4503,4677,4727,4967,1370,1388,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,164360,--,155060,--,50400,--,--,--,39435,--,32092,31082,23464,--,--,
累计折旧(万元),--,90264,--,87527,--,18269,--,--,--,14400,--,13104,11627,6984,--,--,
固定资产净值(万元),--,74096,--,67533,--,32131,--,--,--,25035,--,18988,19455,16480,--,--,
固定资产减值准备(万元),--,1908,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),78794,72188,70217,67533,32029,32131,29737,27679,25562,25035,18562,18988,19455,16480,11206,11559,
在建工程(万元),7726,6602,7600,4273,2851,2629,1525,177,187,114,44,94,25,17,574,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),23381,27178,23056,23311,4098,4049,4010,3817,3828,3959,3820,3879,4088,3019,3130,885,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),109809,109809,108147,108147,--,--,--,--,--,--,336,336,336,--,--,--,
长期待摊费用(万元),3590,3710,2292,1848,244,285,230,271,296,337,377,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),7494,7065,4970,5149,2548,2548,2001,2001,1609,2001,1833,1833,1461,1223,603,483,
其他非流动资产(万元),8894,11745,13402,8202,9502,5080,4883,5245,4749,4078,1435,197,645,--,--,--,
非流动资产合计(万元),246621,246197,237722,226792,52641,48108,42385,39190,36233,35523,26407,25327,26011,20944,15513,12952,
资产总计(万元),442860,426934,400670,390973,219495,196445,191418,188599,194175,188069,188782,183905,108252,90812,80964,66132,
短期借款(万元),24068,15487,3854,--,--,--,--,--,--,--,--,--,3000,3000,3000,3350,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),2541,630,510,185,835,1314,1079,530,314,521,686,637,664,--,--,--,
应付账款(万元),66938,73496,68918,62639,33795,32147,30585,31209,29594,26054,26543,25594,21061,17791,17225,14920,
预收账款(万元),992,1238,1286,1248,677,729,636,624,536,443,536,555,286,162,114,95,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),7017,5304,6019,5656,514,531,104,199,278,696,369,450,636,636,723,909,
应交税费(万元),2045,3190,2450,2996,328,147,120,306,1171,544,1037,1428,423,-711,-706,-583,
