报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,
货币资金(万元),4743378,5343069,5621496,6014213,5265670,5680038,5965624,6011219,6127226,6457572,7323724,7789863,8161805,11040706,12922525,7297469,5486689,3950655,3303816,2925542,2527695,3359999,3122555,3278876,2891320,2718645,3038074,3207898,3151038,3464111,4049893,4812659,4273322,4375569,5599237,5065996,6450472,3877491,3184559,2181743,6577165,3959007,1446401,
结算备付金(万元),1379628,1460496,1541988,1610466,1401049,1312911,1478426,1540940,1904347,1694618,1167673,1414631,1916619,1737953,2477445,1078058,1219180,664627,604827,592847,504716,474694,618764,531203,469393,540113,531244,608012,420467,397861,296663,416136,1990870,457430,492891,2151091,466331,354707,284324,4550599,724529,833190,182516,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,361231,346061,332168,278871,33209,0,0,0,0,--,0,--,0,--,
交易性金融资产(万元),10012475,8667708,8224996,6845371,7307028,5468791,4887262,5045564,4824445,4320986,5057600,4863509,6282649,6016705,5536685,4630138,3612167,2755085,2670371,1508200,1493207,1510354,2205963,3116644,2384014,2245848,2129741,1652773,1470083,1048428,1667727,1214384,1637472,1843933,1556653,1514598,1534650,457787,535569,236836,204524,173240,175695,
衍生金融资产(万元),115023,100864,101731,48227,102164,87715,54428,50491,110961,54898,81720,77381,101635,76636,85520,2908,1202,1567,217,792,8692,1243,8,--,--,--,--,--,--,--,--,--,--,314,128555,0,0,0,--,0,--,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,--,
应收账款(万元),70847,195195,187807,202839,78416,239971,356735,391803,72487,437197,383689,353830,332011,359924,379916,252949,206694,181875,210824,170609,169570,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,208254,47926,10495,147434,36548,35739,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,
应收利息(万元),--,209993,200286,204563,189487,163206,143110,151820,126198,121476,86858,101279,88867,72022,86310,54757,39942,30500,22233,26943,23098,16433,10766,6691,5316,4744,3057,3487,3256,3066,1482,1517,1012,194,0,0,67,42,--,0,--,0,--,
应收股利(万元),--,--,--,7350,14700,--,8330,--,16030,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,
