报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),4971,4494,4624,7880,8266,8934,8954,10211,8273,8735,9963,11380,10378,10580,11190,13236,12184,13197,13466,14730,12418,12850,15548,17545,19700,1293,1385,2360,414,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1312,1312,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),297,488,520,277,71,85,188,83,68,64,117,45,21,51,40,57,40,--,160,160,2,5,5,17,--,85,18,--,17,
应收账款(万元),7087,6904,6258,7062,7106,6759,5925,6336,6416,6016,4927,5603,5733,5434,4482,5000,4594,4250,4113,4615,4557,4321,4225,5607,4381,3789,4154,2589,1381,
预付款项(万元),1314,1009,783,526,1663,1730,1796,1965,4756,4306,3830,3565,4299,4176,4477,3385,2219,1728,1817,1528,1234,1098,1623,634,785,561,353,215,99,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收利息(万元),--,15,48,19,539,341,337,332,326,320,304,304,296,161,145,145,174,140,96,40,311,218,--,0,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他应收款(万元),1686,896,916,725,1096,1056,1109,871,1108,1059,989,923,805,764,776,625,633,664,513,421,641,701,557,408,507,520,425,336,534,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
存货(万元),6213,6245,6497,5046,5793,5534,5730,4790,5424,5510,5572,4929,5539,5336,5377,4929,5289,5086,4962,4228,4351,3993,3729,3305,3185,2864,2257,1109,637,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他流动资产(万元),3015,3014,3022,3029,41,42,22,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
流动资产合计(万元),24582,23065,22669,24564,24575,24482,24061,24611,26372,26011,25704,26750,27072,26500,26487,27377,25134,25064,25126,25722,24826,24498,25688,27516,28558,9112,8593,6610,3081,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),623,615,638,645,325,333,340,347,354,361,369,376,383,811,825,840,855,870,885,900,915,930,945,960,975,990,1020,1080,1140,
固定资产原值(万元),--,15730,--,15653,--,9530,--,9500,--,9556,--,9299,--,8549,--,8359,--,8115,--,7668,--,7558,--,6172,--,5728,1985,1665,1478,
累计折旧(万元),--,3951,--,3551,--,3399,--,3148,--,2859,--,2532,--,1999,--,1690,--,1387,--,1113,--,897,--,893,--,735,655,545,444,
固定资产净值(万元),--,11779,--,12102,--,6131,--,6351,--,6697,--,6767,--,6550,--,6669,--,6728,--,6555,--,6661,--,5279,--,4993,1330,1120,1034,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
