报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),105647,106689,106439,106952,106909,103868,104885,105401,106122,95429,96040,96144,96551,98537,99628,101312,102073,102640,101827,102032,102625,103740,104121,104166,105811,89739,92232,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),68720,68720,68720,68720,68720,68720,71808,71808,70001,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25391,25391,--,--,
长期待摊费用(万元),1064,1099,--,--,--,--,--,--,--,--,907,639,741,857,948,1083,1166,1221,1213,1206,1197,1319,1244,1217,1041,1102,1051,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),16220,16190,16489,16398,16304,16285,22593,21614,20330,18628,19442,18920,17865,18944,13674,13642,12804,13589,9760,9768,9623,10198,7487,7482,7486,5138,2101,
其他非流动资产(万元),3955,3810,1013,916,6943,2260,3980,6281,5464,36511,6235,8645,98374,96840,--,--,0,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),847144,875626,864901,869272,889693,860279,851253,853174,856044,771335,703471,708102,655704,665766,620277,618213,625577,619421,611294,612207,610412,616377,592726,563818,554538,513579,523626,
资产总计(万元),1932299,1973847,2110984,2014762,2004476,1977427,2097189,2137239,2102742,2076452,2002380,1981172,1918443,1983194,1898842,1835197,1772619,1758602,1760726,1776217,1734262,1644613,1675342,1368008,1292677,1246985,1188648,
短期借款(万元),448926,317054,355683,344922,351604,376780,372366,397645,470483,280904,298467,258901,270775,252101,266040,202189,209237,166865,178026,180373,182491,218098,229738,232556,209074,208300,274600,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,36,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),54363,54695,46481,36672,39108,41041,56002,66345,100441,94958,97607,97109,57945,76095,85958,65267,44012,48772,46056,43357,55185,46680,49244,45849,57637,81423,87127,
应付账款(万元),220611,234189,259206,269549,276637,243663,241305,221660,226313,217579,211825,212276,203626,247014,251620,253589,200702,193389,212421,216594,217768,229912,224451,233274,220598,175751,168354,
预收账款(万元),108816,94905,116024,98910,112805,86961,105919,103409,108192,117162,131307,142993,140072,144151,164721,178455,193448,190864,206959,210810,190555,183156,244490,248945,247382,286639,319666,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1389,14820,999,918,957,10526,1104,1032,1475,11851,756,476,307,12442,4626,4537,4708,16643,4954,4854,5224,14573,5075,5026,14713,12849,11407,
应交税费(万元),5226,9665,4026,4735,5072,5978,4722,4477,8121,3844,2603,3269,3229,4109,-3413,-282,2517,2413,-4090,-7212,2746,7146,4352,5205,13376,23419,7691,
应付利息(万元),754,10069,11329,8132,5375,9926,10634,7034,6421,10937,11779,7795,4931,10923,8275,5111,2537,9285,5992,4218,2215,993,1006,1124,1508,507,--,
应付股利(万元),--,--,424,--,--,--,--,9981,--,--,--,17810,--,--,--,12168,--,--,--,15344,--,--,--,--,--,--,9639,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),17230,21459,19531,23442,22553,20286,24612,19946,17412,18657,19165,17667,18377,19670,21199,20804,18793,21303,17796,17921,19526,22905,22504,50808,15243,16577,29862,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),3232,50753,6491,7625,34167,34512,33851,34000,15832,174196,52240,52489,12743,13554,--,--,--,24209,20000,20000,20000,--,7500,7500,34990,58000,--,
其他流动负债(万元),28,160029,160031,160031,160000,150032,150000,150000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),860575,967638,980226,954937,1008279,979704,1000515,1015528,954690,930088,825750,810784,712005,780096,799025,741838,675953,673742,688114,706259,695711,723463,788360,830286,814519,863465,908345,
长期借款(万元),244281,179897,160593,98858,47898,50049,23040,15215,34835,36916,39379,41416,61252,64154,64535,65017,64773,67022,65073,67293,39281,117269,118750,118721,99248,94000,64000,
应付债券(万元),12615,12609,159586,159543,159499,159457,159401,159360,158667,159292,278905,278826,278748,278672,179216,179170,179125,179080,179782,178993,178950,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,2119,4236,6354,8472,10589,12707,14825,16942,19060,29648,29648,29648,29648,30369,30349,30346,29864,30360,684,709,--,--,
专项应付款(万元),--,--,--,--,3980,3980,3980,3530,3530,3530,3530,1330,1330,1330,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),677,676,509,209,206,205,203,202,202,170,397,206,475,446,478,458,495,387,1117,1085,1082,1120,387,2648,2661,2275,500,
长期递延收益(万元),--,50023,50911,41376,28822,27857,28087,24811,23626,25369,25212,21966,22411,22805,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),4965,5040,5345,5376,5282,5289,5796,5694,3558,3664,3493,3367,3301,3695,3921,4248,4316,4289,4242,4146,4175,4345,6993,6809,7011,3219,3753,
其他非流动负债(万元),77533,--,--,--,--,--,--,--,--,--,--,--,--,--,17707,18357,18592,18827,17192,17427,17662,17897,18650,16472,16677,10725,4130,
非流动负债合计(万元),340071,275165,403949,332367,272693,275961,252820,243243,260965,267607,391329,389642,412165,417869,295505,296899,296949,299253,297776,299294,271497,170496,175140,145334,126306,110219,72383,
负债合计(万元),1200646,1242803,1384175,1287304,1280972,1255664,1253336,1258771,1215655,1197695,1217079,1200426,1124171,1197965,1094530,1038736,972902,972995,985890,1005553,967208,893959,963499,975621,940825,973684,980728,
实收资本(或股本)(万元),433942,433942,433942,433942,433942,433942,433942,433942,433942,433942,411000,274000,274000,274000,274000,274000,274000,274000,274000,274000,274000,274000,274000,205500,205500,128800,128800,
资本公积(万元),210105,210105,210105,210105,210105,210105,210105,210105,210105,210105,119791,256791,256791,256791,255218,254686,254686,254686,254686,254686,254686,254686,252046,11989,11989,8077,7948,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),101,--,58,79,110,--,46,40,48,--,65,66,51,--,22,43,70,--,40,62,52,--,--,--,--,--,--,
盈余公积(万元),75614,75614,74492,74492,74492,74492,74492,74492,70282,70282,67624,67624,56653,56653,50380,50380,43757,43757,37134,37134,30712,30712,24290,24290,24290,18352,13417,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-1684,289,528,-685,-3042,-2810,123189,157708,170292,169775,191640,187254,211529,201899,227056,217650,227361,213431,209517,205897,208768,191849,162240,151384,111175,112062,52767,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2364,-1048,-894,-998,-1256,-1795,-1840,-1255,-1380,-1372,-1654,--,--,
归属于母公司股东权益合计(万元),714690,714815,714626,714673,711404,710325,833091,868327,876742,878757,785301,780746,794272,785230,804312,795712,798979,784876,774122,769985,766379,749992,711196,391790,351300,267292,202932,
少数股东权益(万元),16963,16229,12182,12785,12100,11438,10762,10141,10345,--,--,--,--,--,--,749,737,730,714,679,675,662,647,597,553,6009,4988,
所有者权益(或股东权益)合计(万元),731653,731044,726809,727458,723504,721763,843853,878467,887087,878757,785301,780746,794272,785230,804312,796461,799717,785607,774836,770664,767054,750654,711843,392388,351853,273301,207920,
负债和所有者权益(或股东权益)总计(万元),1932299,1973847,2110984,2014762,2004476,1977427,2097189,2137239,2102742,2076452,2002380,1981172,1918443,1983194,1898842,1835197,1772619,1758602,1760726,1776217,1734262,1644613,1675342,1368008,1292677,1246985,1188648,		
  
