报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),545416,483135,507152,658861,268648,215360,392571,354529,254680,364176,544680,412063,290837,339426,649948,729170,678241,699052,836075,736415,674173,633698,680656,642759,621026,710709,812970,390536,293589,309462,259179,209246,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),27326,31799,--,40000,--,--,--,--,49600,--,89700,130900,--,21,1433,--,--,427,854,1627,2259,1165,44,--,118,118,5,5,1,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),--,4907511,2618819,1564415,3466398,3978625,2717631,2458685,2757429,2816175,1923459,1819001,2292003,2335237,1608857,1336296,1618839,1754826,1516242,1365810,1459555,1479089,1200232,1069619,983314,870298,763723,894188,936793,772610,323773,95810,
应收账款(万元),89393,87344,80814,192347,60517,51798,72169,74688,63938,67592,92511,63403,72814,73011,89937,83571,70083,65631,52303,67208,66142,69149,62826,62241,61593,67937,63085,38002,27581,32700,14783,25194,
预付款项(万元),46731,57954,94302,84805,116296,105718,131978,125469,98348,88072,70017,63922,71378,72333,75591,58289,38285,44607,53971,37872,40996,39155,47086,36629,49536,36060,66341,40358,41664,35483,42888,39705,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),3505,2836,2767,3634,1547,1242,708,625,619,513,396,364,344,490,6,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,599,979,979,2159,3113,800,900,900,900,900,1528,1528,1528,1528,1528,1528,--,--,--,--,0,--,--,--,
其他应收款(万元),25962,29789,38890,27720,28249,25101,19551,14085,12757,10185,72828,106348,296463,289679,290310,312495,286366,255919,98072,134789,107469,85439,64831,40530,97981,65040,72882,69009,129210,120209,2408,27699,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
存货(万元),514036,557477,689172,829300,702423,606114,564934,527621,357254,411981,456408,411709,331400,347039,264002,249320,260449,276389,243659,268463,279151,269512,284490,339292,283132,277668,234518,288812,239735,210368,158993,87639,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),909326,744788,543901,423618,425281,120170,133007,118745,113368,102369,32429,23551,15178,5216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他流动资产(万元),231632,26700,373623,535791,204916,144875,146130,115821,91403,176957,220456,130500,63457,68123,29290,37786,5312,4868,5014,6296,4040,6033,8002,15075,7647,9590,7399,3323,1620,1625,671,402,
流动资产合计(万元),6702994,6929333,4954041,4440491,5283844,5392803,4178680,3823267,3799995,4039000,3503864,3163920,3436986,3531374,3010275,2807827,2958475,3102619,2807718,2620007,2635312,2584768,2349695,2207674,2104347,2037419,2020924,1726734,1670192,1482456,817694,496395,
发放贷款及垫款(万元),524563,442869,296454,247936,142774,307625,72104,62813,64159,56106,44017,36111,25838,10051,1329,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
可供出售金融资产(万元),--,770,770,770,770,770,720,720,720,720,720,720,71220,720,720,720,--,--,--,--,--,--,--,--,1200,--,15000,2500,0,--,15000,10700,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
长期应收款(万元),--,--,74894,97726,114864,136119,140478,161734,161383,161383,169636,169636,--,--,--,--,--,--,--,--,--,2297,2296,4579,--,--,--,--,0,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,1801,2727,1701,3169,6599,5175,4970,5676,5318,4656,4558,4297,4184,6733,5831,7245,7004,7398,7242,15129,14676,23687,19698,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
投资性房地产(万元),12547,12605,12292,12495,12693,12815,13325,13364,613,2147,1655,2178,630,634,639,601,605,609,613,617,621,625,629,633,637,641,573,576,206,208,--,--,
固定资产原值(万元),--,4074174,--,3778610,--,3480723,--,3128378,--,2677986,--,2440797,--,2311640,--,2004660,--,1890825,--,1414921,--,1222339,--,1033834,--,968824,--,--,710938,700769,534017,361746,
累计折旧(万元),--,1283383,--,1134074,--,993750,--,866652,--,754340,--,664516,--,575598,--,489196,--,418626,--,363575,--,314559,--,270587,--,229423,--,--,179928,164581,115649,85410,
固定资产净值(万元),--,2790790,--,2644536,--,2486973,--,2261726,--,1923647,--,1776281,--,1736042,--,1515464,--,1472198,--,1051345,--,907780,--,763247,--,739401,--,--,531010,536188,418368,276336,
固定资产减值准备(万元),--,18990,--,15271,--,15478,--,13609,--,8003,--,8636,--,8703,--,6431,--,6505,--,5809,--,5868,--,3167,--,163,--,--,167,167,95,95,
固定资产(万元),2792656,2771801,2681975,2629265,2585886,2471495,2259586,2248117,2184517,1915643,1836139,1767646,1749082,1727339,1588843,1509033,1461806,1465693,1106872,1045536,897559,901912,813446,760080,732186,739238,520920,533302,530842,536020,418273,276241,
在建工程(万元),483693,487884,504093,476192,432511,485918,516979,466238,442464,624054,599254,665338,578088,527434,532921,481271,432370,398923,620960,554170,565456,498970,471535,436932,378424,305023,404040,334544,251950,195252,108523,183039,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,1,1,0,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
