报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),28386,24968,18781,22742,21784,27077,28724,19363,21877,23438,19862,11031,9998,11698,12284,32334,8661,10014,11678,10961,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,48,--,--,20,123,--,58,56,--,135,125,115,--,--,--,316,--,800,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3117,1006,6634,3700,2196,2749,4125,2694,1412,3113,2971,2238,1822,1264,1667,260,2153,1625,2201,2028,
应收账款(万元),20041,16393,18817,20515,21039,20047,17672,16587,14101,14470,14268,12842,14712,13242,11748,11471,10903,9529,7504,6572,
预付款项(万元),762,2531,1346,2657,2721,1325,1210,2244,1744,1673,985,822,1408,1892,715,350,321,1325,515,614,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),0,0,0,1,1,1,3,--,--,--,--,--,--,2,3,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),361,300,180,34,36,35,64,43,26,83,77,449,54,21,13,13,456,531,318,187,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),23229,20484,14870,15051,16875,16754,13177,12079,13417,11325,11025,7308,8145,8293,8197,7633,6268,6872,4745,4249,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),6177,5611,13875,12227,11686,1143,638,32,147,--,2109,2665,3101,5309,5200,--,--,--,82,13,
流动资产合计(万元),82073,71294,74551,76927,76336,69150,65736,53042,52782,54159,51298,37490,39364,41835,39827,52061,28762,30212,27043,25424,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2500,2500,2500,2500,2500,2500,2500,2500,2500,1000,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),46,47,48,48,49,50,51,52,53,54,54,55,56,57,58,59,59,61,64,68,
固定资产原值(万元),72468,--,43691,--,39986,--,39493,--,35879,--,35236,--,24804,--,23467,--,20340,17170,8061,7772,
累计折旧(万元),15676,--,13987,--,12629,--,11432,--,10455,--,9153,--,6754,--,5901,--,5151,4576,3656,2825,
固定资产净值(万元),56792,--,29704,--,27357,--,28061,--,25424,--,26083,--,18050,--,17567,--,15188,12594,4405,4947,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),56792,44762,29704,26856,27357,27617,28061,25038,25424,25784,26083,22096,18050,18310,17567,14897,15188,12594,4405,4947,
在建工程(万元),18321,27574,39111,32399,26174,16042,11527,6310,5939,4832,4479,3916,7639,7086,7365,9136,8252,9386,11323,4135,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
