报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),135238,21936,42990,20881,18471,1861,1770,17791,14331,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),11545,17032,19135,8709,11809,13838,15442,17668,17723,
应收账款(万元),37503,36997,38688,30604,27498,23381,20128,14680,9261,
预付款项(万元),2171,1930,1290,1873,4711,2236,9281,7790,6404,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),1932,1097,1503,2091,2478,2679,1236,770,647,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),51416,42850,32231,44696,44254,35366,37821,39787,29378,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),62837,35829,13874,7564,1201,1283,--,364,--,
流动资产合计(万元),302642,157671,149711,116418,110421,80645,85677,98850,77744,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1000,1000,1000,1000,1000,1000,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4667,4677,4791,5860,6870,6803,8754,9136,4902,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),752,772,814,896,938,979,--,--,--,
固定资产原值(万元),--,208048,203286,194219,--,168807,139026,99737,58366,
累计折旧(万元),--,97921,90428,73256,--,57571,44081,33650,25200,
固定资产净值(万元),--,110127,112858,120963,--,111237,94945,66088,33166,
固定资产减值准备(万元),--,28,28,141,--,338,200,394,91,
固定资产(万元),121044,110099,112830,120821,109952,110899,94745,65693,33075,
在建工程(万元),13388,27534,32154,30505,47555,42234,26819,18814,31706,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),18352,18503,18803,18841,18708,18964,17077,8372,8538,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),46,51,62,84,98,129,116,95,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),4416,4403,4356,3857,3447,3221,2486,1901,1486,
其他非流动资产(万元),3020,2600,3557,5119,3592,4483,617,610,--,
非流动资产合计(万元),166684,169639,178366,186984,192160,188712,150613,104622,79706,
资产总计(万元),469326,327310,328077,303402,302581,269356,236290,203471,157450,
短期借款(万元),--,--,9000,15000,25000,15000,10000,10000,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),12513,5858,8290,7329,--,--,--,3228,--,
应付账款(万元),34950,36392,35310,44019,47577,39849,33593,18454,11699,
预收账款(万元),9090,8380,6889,5890,7156,6859,4957,6910,6726,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4169,4119,3500,3271,3061,1482,1005,697,401,
应交税费(万元),3707,3686,5660,3861,1971,2972,1614,815,675,
应付利息(万元),44,18,10,20,28,24,18,18,--,
应付股利(万元),--,31,57,65,4806,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),12471,5326,4838,5647,7213,4121,4693,3166,2768,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,275,333,
流动负债合计(万元),76944,63809,73554,85102,96812,70307,55881,43563,22602,
长期借款(万元),26000,16000,16000,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),10185,9958,8672,8430,8913,8936,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),83,--,--,--,--,--,7767,1443,400,
非流动负债合计(万元),36268,25958,24672,8430,8913,8936,7767,1443,400,
负债合计(万元),113212,89767,98226,93533,105725,79244,63648,45006,23002,
实收资本(或股本)(万元),45335,35335,35335,35335,35335,35335,35335,32123,32123,
资本公积(万元),188167,87133,87133,87133,87133,87133,87133,90345,90345,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),13906,13906,13906,11245,8672,8672,6270,4055,1198,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),108565,100928,93173,76057,65571,58750,43731,31942,10782,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),355974,237303,229547,209770,196711,189890,172469,158465,134448,
少数股东权益(万元),140,240,304,99,145,222,173,--,--,
所有者权益(或股东权益)合计(万元),356114,237543,229851,209870,196856,190113,172642,158465,134448,
负债和所有者权益(或股东权益)总计(万元),469326,327310,328077,303402,302581,269356,236290,203471,157450,		
  
