报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),48426,63271,48337,60515,89862,87548,79346,90390,124472,126898,60045,65184,54359,39328,45787,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3533,2379,8950,520,460,2959,6218,200,585,1686,552,12,1385,652,--,
应收账款(万元),16825,7413,17913,10025,12912,10135,19406,13841,16929,10901,18653,13617,13545,10699,9891,
预付款项(万元),5034,2674,6178,6576,4014,621,2186,2441,1839,1654,3367,1690,506,732,730,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1311,921,1135,1339,889,867,977,794,766,705,1181,472,313,221,920,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8074,10980,7859,8706,6357,7470,7469,8808,6945,8051,8970,8380,7635,8221,7627,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,1000,--,--,--,--,--,
其他流动资产(万元),40484,30777,30684,30400,22375,25265,35761,35437,348,336,1417,2272,--,--,--,
流动资产合计(万元),123686,118730,121056,118083,136869,134865,151363,151912,151884,151232,94185,91626,77743,59853,64955,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),40690,40690,40690,40690,20690,20690,647,647,647,647,612,612,612,612,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),3700,3702,3707,3622,3344,3369,3354,3314,3269,3281,3234,2689,2492,2298,2167,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),5708,6920,5215,4534,4084,3772,3512,1958,1418,1420,1378,1403,1454,1504,1553,
固定资产原值(万元),--,30250,--,31950,--,32577,--,33902,--,34459,34994,34958,7919,--,--,
累计折旧(万元),--,6795,--,6634,--,6217,--,5611,--,4873,4749,4033,3067,--,--,
固定资产净值(万元),--,23455,--,25316,--,26360,--,28291,--,29586,30246,30925,4852,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),24296,23455,24350,25316,25656,26360,26354,28291,29205,29586,30246,30925,4852,4977,4676,
在建工程(万元),819,821,299,299,241,241,--,--,--,--,--,--,20818,19174,9842,
工程物资(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2950,2980,2711,2724,2727,2750,2714,2739,2773,2808,2878,2949,3057,3177,3125,
开发支出(万元),861,859,1269,1213,1204,1156,1476,1252,1140,1090,984,681,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),106,116,5,7,9,11,31,44,57,70,100,--,14,363,25,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5,5,2,2,2,2,205,205,184,184,262,87,60,1,1,
其他非流动资产(万元),84,84,--,--,--,512,1525,1525,1481,1481,2831,2803,7732,5244,1934,
非流动资产合计(万元),79218,79633,78248,78407,57958,58863,39819,39976,40175,40568,42525,42149,41091,37350,23324,
资产总计(万元),202905,198363,199304,196489,194827,193728,191182,191888,192059,191799,136710,133776,118834,97203,88279,
短期借款(万元),1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),7379,4843,9144,7097,6062,5768,8525,7107,5771,4969,8653,12025,8465,7953,4550,
预收账款(万元),9485,5825,7347,4909,6486,4424,4211,3407,3241,2563,3018,2811,2505,2481,2417,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),565,2700,374,409,395,2366,322,452,505,2139,748,2857,3246,2836,2813,
应交税费(万元),343,119,62,486,580,1045,822,853,789,1117,727,567,963,1651,1287,
应付利息(万元),1,1,--,--,--,1,--,8,10,10,10,13,14,--,--,
应付股利(万元),--,--,--,2880,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1985,1759,1825,1796,1489,1557,1432,1355,1235,1502,1081,1064,1352,1150,6058,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),20759,16553,19753,18577,16012,16162,16313,14181,12551,13301,14238,19336,16545,16071,17126,
长期借款(万元),--,--,--,--,--,--,--,6500,6800,6800,7100,7400,7700,1000,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),7571,7615,7674,7776,7882,7970,7173,6517,6938,7007,6995,6695,4429,3437,--,
递延所得税负债(万元),8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1836,
非流动负债合计(万元),7579,7623,7682,7784,7890,7978,7181,13026,13747,13815,14103,14104,12146,4453,1853,
负债合计(万元),28338,24177,27435,26361,23902,24140,23494,27207,26298,27116,28341,33440,28691,20524,18979,
实收资本(或股本)(万元),57600,57600,57600,28800,28800,28800,28800,28800,24000,24000,18000,18000,18000,18000,12000,
