报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1157575,846065,1039388,952370,661741,804542,1118293,1043272,979868,1305293,1587336,1667778,554820,510230,600866,525747,454060,417701,754955,696931,570219,530497,602468,644930,597498,646517,585640,624051,810003,326499,195685,536876,309964,144653,368766,209653,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收票据(万元),2772,150,8925,9099,7691,8559,4839,--,--,--,--,--,--,--,--,--,--,--,--,--,--,400,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收账款(万元),397645,322161,411832,317000,379170,355236,300063,362317,313986,255516,322808,288668,319190,236877,191229,169513,187275,171608,190885,161696,164935,139325,107554,123187,153736,109337,250650,155973,140284,144614,180830,85672,145244,88910,207476,193173,
预付款项(万元),422477,425142,495547,397518,419799,377404,320598,304569,215760,206728,269541,195090,151823,168160,197850,178842,184812,166622,191436,160983,179682,119273,208117,113911,137733,138930,165543,103098,109579,132264,273090,302942,238535,192291,92554,104495,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收利息(万元),277,151,93,968,994,866,978,786,796,696,729,581,588,1217,1071,1111,751,421,--,--,--,317,--,--,--,--,--,--,0,155,0,0,0,193,199,4160,
应收股利(万元),293,293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他应收款(万元),103573,130387,135002,150063,123718,97804,128975,128089,98459,77626,108280,87623,81808,101684,166184,193227,197057,145490,161868,109284,181254,127817,140323,123504,113483,106516,121707,120645,109894,97551,135582,115885,92438,82853,62336,83940,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
存货(万元),1607646,1508077,1410800,1443838,1349188,1359986,1367082,1369946,1445171,1523152,1200286,1165104,1171930,1198131,1163925,1120692,1080580,1059316,886956,901855,810027,825692,712866,812173,756141,813551,689214,733951,767626,771240,706641,687067,599227,553610,438412,305427,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
一年内到期的非流动资产(万元),19,--,--,2913,2954,2840,2840,2840,4229,2840,2840,2840,2840,16216,16216,16216,16216,16216,--,--,--,16216,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他流动资产(万元),75507,81084,79230,86366,96928,101519,104162,54070,64460,65894,3149,3136,2649,3605,1167,6220,1600,1884,18764,19482,16690,348,2645,4797,6599,8426,1401,1845,504,0,393,260,484,0,0,43,
