报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),70177,96826,76989,79765,63331,57895,71934,78660,78894,26316,23651,16448,7684,12025,9192,23884,13831,21587,17655,26150,29001,43075,43583,53953,58460,57099,68269,74190,74347,16952,9220,2848,128,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,450,294,130,77,264,--,--,593,0,50,1420,778,1054,856,383,160,1865,949,744,--,906,1547,666,688,2885,1654,1690,2153,947,491,211,30,
应收账款(万元),30325,32200,35919,40038,23417,17663,16123,16965,12137,13476,12807,15074,13242,13895,14298,15463,12539,12809,15455,12982,10965,12302,12823,10784,7442,4032,5223,4200,2749,6034,3611,1925,2874,
预付款项(万元),29722,24114,19506,8063,25442,22332,19995,14996,19320,18928,23420,21928,34116,37479,35178,25174,45776,42560,43188,35738,39079,28909,25945,14364,20223,12760,10200,5357,3493,933,662,2959,312,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,264,153,44,388,276,165,56,--,--,--,--,--,--,--,--,0,0,1,44,14,515,350,276,32,843,578,315,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1905,1528,1297,991,769,796,564,281,49,81,50,58,67,47,52,87,51,24,988,957,1047,1056,1115,1086,1378,1254,1615,1672,2305,2829,3319,582,419,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),107159,107929,104326,103348,112715,109063,99964,99321,98862,96870,92814,88500,76963,68844,62295,57254,61611,59406,40449,37413,34056,31682,30964,30815,25361,25773,17201,17285,21614,18374,14991,10726,8364,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),784,841,855,600,301,496,475,249,214,195,39,61,82,215,78,137,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),240072,264151,239340,232980,226440,208783,209222,210529,210070,155866,152830,143490,132933,133558,121949,122381,133968,138251,118686,114028,114163,118445,116327,111943,113584,104645,104739,104709,106662,46070,32295,19251,12126,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,1719,1719,5947,5947,5947,5947,8753,9947,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),507,507,507,507,625,509,509,509,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,79261,--,76021,--,72588,--,70810,--,59233,--,49443,--,48591,--,48256,--,44553,--,28367,--,16797,--,16458,--,14449,--,8660,--,--,7212,6781,--,
累计折旧(万元),--,17347,--,15761,--,14148,--,12610,--,11287,--,10194,--,8996,--,7827,--,6763,--,6114,--,5590,--,5023,--,4506,--,2383,--,--,2492,2229,--,
固定资产净值(万元),--,61914,--,60260,--,58440,--,58200,--,47946,--,39250,--,39595,--,40429,--,37790,--,22253,--,11207,--,11434,--,9942,--,6277,--,--,4719,4552,--,
固定资产减值准备(万元),--,163,--,163,--,163,--,163,--,163,--,163,--,163,--,163,--,165,--,165,--,165,--,165,--,165,--,165,--,--,167,181,--,
固定资产(万元),61825,61751,59610,60097,58069,58277,60407,58037,47145,47783,48345,39086,38914,39432,39715,40265,37203,37626,21970,22089,10970,11043,11055,11270,11332,9778,5970,6112,5971,4494,4553,4372,4261,
在建工程(万元),19243,17839,17729,16855,16857,14260,16644,8208,15141,13913,9519,17486,16300,13588,11046,9668,10155,5813,18113,13678,20043,16990,13366,10186,5108,4907,3159,2119,1267,1108,421,195,414,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),18619,18461,18869,19128,14912,15079,15304,15529,15739,15965,16187,10183,10373,10572,10763,10962,11197,11402,11606,11813,12048,7272,7353,7435,7516,7598,5574,5606,5639,5671,5737,2759,2827,
开发支出(万元),7607,7383,7096,6048,5480,5338,4711,4381,3826,3715,3417,2976,2798,2568,2568,2230,2230,2017,1706,1706,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,436,436,436,436,436,436,436,436,134,134,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1,2,3,4,5,6,7,8,9,10,11,11,13,17,21,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1500,1273,928,1344,1389,1295,1037,1014,1074,1067,950,1051,1289,1335,949,1024,1080,925,875,779,452,550,512,571,77,69,89,65,45,77,45,41,9,
其他非流动资产(万元),16585,9485,19158,13972,7933,6461,6351,8688,7563,7726,11356,18200,15360,16571,18140,17589,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),127172,118943,125972,120025,111567,107521,111264,102668,100096,100470,90129,89337,85389,84421,83537,82094,62301,58218,54706,50502,43952,36294,32727,29902,24174,22494,14800,13913,12933,11362,10769,7384,7533,
资产总计(万元),367244,383095,365312,353005,338008,316304,320486,313197,310165,256336,242960,232827,218322,217979,205486,204476,196269,196468,173391,164530,158114,154739,149054,141845,137758,127138,119539,118622,119595,57431,43064,26635,19659,
短期借款(万元),64367,85078,62500,53200,53200,35262,39762,54062,49300,53000,59000,57000,54181,57835,48000,50000,49700,51603,32100,26380,26000,29620,26450,22450,24550,15100,15500,15850,14000,19629,17428,8420,7580,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,452,1537,1904,2705,4626,9584,8222,3650,2665,810,1435,2586,2640,1603,440,1085,1346,1311,--,--,--,--,--,--,--,--,2227,--,--,--,
应付账款(万元),--,4767,4210,3439,1762,2250,1389,1381,2732,4163,1950,4417,2645,1251,1245,850,633,1784,514,416,546,1870,1084,426,468,384,464,389,421,1833,1117,158,1102,
预收账款(万元),10136,9378,7697,7617,6495,6130,5063,5381,4428,3671,3467,3724,3509,2852,2627,2422,1967,1882,1349,1869,1583,1436,1392,1524,974,573,331,99,659,97,327,1175,347,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2090,1916,1794,1674,1528,1426,1318,1261,1117,1009,948,937,899,771,708,639,588,507,435,364,341,303,258,227,189,188,165,120,103,105,131,61,46,
应交税费(万元),4257,3664,6441,8453,2630,2633,1534,2075,2285,1824,853,2497,1426,1365,1414,1760,710,1144,1797,1676,935,1185,1170,1297,251,377,416,1383,769,480,267,447,323,
应付利息(万元),--,204,153,197,147,103,77,223,55,60,81,82,72,83,84,88,72,104,56,47,42,46,48,45,42,29,32,32,34,41,32,--,--,
应付股利(万元),--,235,--,--,--,713,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3977,3752,3750,3756,3606,3646,4715,4627,5232,10463,575,451,654,640,668,583,1488,1426,1916,1316,1364,1378,1403,1333,1551,2835,366,375,529,361,415,390,919,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),88731,108993,86545,78788,70905,54067,56564,73637,74732,82413,70524,71773,64197,66233,57332,58982,56761,58891,39253,33413,32123,35839,31805,27303,28025,19486,17274,18248,16515,24773,19717,10650,10316,
长期借款(万元),20000,20000,20000,20000,15300,15300,20000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5000,5000,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),6800,6800,6800,6800,6800,6800,6800,6800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),3423,3469,3598,3727,3648,3774,3539,3633,3444,3494,3587,3706,3752,3981,2571,2521,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),124,133,142,151,160,170,180,189,194,205,217,228,235,265,275,284,291,302,312,322,327,338,353,368,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3032,3087,2995,2243,2065,1858,1906,1606,1657,1662,1605,1629,1535,1525,1408,65,--,
非流动负债合计(万元),30347,30401,30539,30678,25908,26044,30518,10622,3638,3699,3803,3934,3986,4245,2846,2805,3323,3388,3307,2564,2392,2197,2259,1974,1657,1662,1605,1629,6535,6525,1408,65,0,
负债合计(万元),119078,139395,117085,109466,96813,80111,87082,84259,78370,86112,74328,75707,68183,70478,60179,61787,60084,62279,42560,35978,34515,38036,34064,29277,29682,21148,18879,19878,23050,31299,21125,10715,10316,
实收资本(或股本)(万元),93497,93497,93497,93497,93497,93497,93497,93497,93497,84788,47105,47105,47105,47105,18842,18842,18842,18842,18842,18842,18842,18842,18842,18842,18842,10785,10785,10785,10785,8085,8085,8085,4929,
资本公积(万元),53361,53361,56688,56688,56688,56688,56688,56688,56688,7011,44657,44619,44532,44445,72621,72533,72365,72197,72029,71861,71540,69169,68847,68526,68098,73116,73116,73116,73116,6090,6090,6090,3520,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),10284,10284,10284,10284,8301,8301,8301,8301,6634,6634,6634,6634,5128,5128,5128,5128,3704,3704,3704,3704,2504,2504,2504,2504,1484,1484,1484,1484,776,776,776,174,89,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),96916,91427,87226,82688,78263,73337,70681,66382,60534,57378,55886,52996,47485,44853,42880,40475,35780,33948,30770,28525,25069,23544,22238,20091,17012,17947,15274,13359,11867,11181,6987,1570,804,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),247058,242527,241483,236945,234765,229838,227183,222883,217353,155811,154281,151354,144249,141530,139470,136978,130691,128691,125346,122932,117955,114059,112431,109963,105436,103333,100660,98745,96545,26133,21939,15919,9343,
少数股东权益(万元),1108,1173,6744,6594,6430,6355,6221,6055,14442,14413,14351,5766,5889,5971,5837,5711,5494,5498,5485,5620,5644,2644,2559,2605,2641,2657,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),248166,243700,248227,243539,241194,236193,233404,228938,231795,170224,168632,157120,150139,147501,145307,142689,136185,134190,130831,128552,123599,116703,114990,112568,108077,105990,100660,98745,96545,26133,21939,15919,9343,
负债和所有者权益(或股东权益)总计(万元),367244,383095,365312,353005,338008,316304,320486,313197,310165,256336,242960,232827,218322,217979,205486,204476,196269,196468,173391,164530,158114,154739,149054,141845,137758,127138,119539,118622,119595,57431,43064,26635,19659,		
  
