报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),200782,288789,177464,113179,104781,147086,82208,80859,55886,66694,20287,16205,12783,39948,22876,17387,29041,26957,17660,25846,32089,37423,39725,3536,12958,4760,3155,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),92,141,217,390,1653,1700,9,9,160,210,445,100,115,150,60,180,261,127,--,160,460,180,30,200,200,--,20,
应收账款(万元),533081,542140,681091,521231,317285,338728,314460,265182,229677,244017,244613,233686,199087,200213,210919,193221,143335,107758,96551,83108,70368,75427,78668,58311,45168,27817,12633,
预付款项(万元),9433,3918,14918,12321,13254,4226,8769,6946,3740,2698,2712,2523,1427,870,1809,1554,1319,1040,1160,1655,568,462,910,949,164,271,325,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
