报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),40449,39927,12702,15627,18032,15562,8921,11483,16199,20346,6962,6535,5944,7252,3841,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,115,--,--,--,--,--,
应收账款(万元),4654,2534,3212,4608,4863,5453,4471,3486,3787,3112,607,1371,420,189,151,
预付款项(万元),2131,2389,2466,2255,1229,1587,1552,1712,1573,1729,1565,1291,1152,988,706,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2143,1445,1525,1400,1522,1536,1016,705,633,478,523,499,459,379,245,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),20034,18720,19333,16028,18539,15495,18642,15673,16233,14754,13247,13244,13219,11520,10487,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1741,1834,1384,1031,1157,6832,7618,7305,831,468,388,337,97,75,271,
流动资产合计(万元),71152,66849,40621,40949,45342,46466,42220,40364,39256,41001,23292,23278,21291,20403,15702,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1390,1390,432,432,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,1721,--,1715,--,1699,--,1660,--,1645,1636,1584,1548,339,--,
累计折旧(万元),--,597,--,561,--,532,--,480,--,434,406,366,307,244,--,
固定资产净值(万元),--,1124,--,1154,--,1166,--,1181,--,1211,1230,1218,1241,95,--,
固定资产减值准备(万元),--,0,--,0,--,0,--,0,--,0,0,0,0,0,--,
固定资产(万元),1111,1123,1133,1153,1145,1166,1167,1180,1189,1210,1229,1217,1241,95,123,
在建工程(万元),11643,11504,11476,11476,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),167,139,112,81,73,67,55,53,32,35,35,38,38,24,8,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
