报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1507578,1390375,1599482,1572761,1615513,1457446,1441720,1407607,1380067,1400694,1262083,1515429,1183186,1211844,1318990,1317554,1317151,1394011,1363798,1433691,1378202,1511504,1870268,2167296,2392641,2511636,2561247,2653494,2650888,2808994,2826318,2711469,2569770,2302607,1987764,1832804,1833535,1651267,1952940,2266846,2086022,1995055,1680966,1706095,172325,157554,1067225,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
交易性金融资产(万元),--,591,293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,58064,--,--,0,
应收票据(万元),51992,64194,94483,51148,56094,53233,74962,45698,63616,43567,80289,55329,61487,36982,45243,38111,43590,43007,32051,46658,33629,40901,47971,42919,39775,23606,44257,37253,56683,65206,45844,65379,55613,49821,31342,35250,24055,12289,5689,5648,--,--,0,0,1950,4451,3478,
应收账款(万元),147419,142832,117678,178716,146544,121428,113484,153393,164758,194519,163196,235062,276864,214651,199328,253706,241238,205744,198631,158600,96717,87051,79763,105361,99546,100057,77173,81412,70702,57121,40479,41784,40374,52106,32205,58011,58064,51047,49287,30812,34507,20288,47523,36073,10339,11659,19000,
预付款项(万元),313386,353769,253436,287523,235505,255525,248374,268641,337395,364117,346884,379784,478555,442117,399120,480893,476752,356952,315400,338149,248743,249486,194633,207948,214293,230305,220695,218445,193832,190768,161366,160633,171568,180745,153854,190206,178691,257231,290380,523870,539844,314210,238769,225060,27572,22170,141224,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收利息(万元),3209,2932,2064,3623,6393,8865,13725,21034,23936,27407,37937,31324,26914,24580,31202,24897,20957,22628,35592,30956,36686,47990,53186,44471,37839,38027,33675,28234,23516,19154,19062,24491,20425,19067,24079,17860,16554,15535,36263,20649,14222,8282,6768,7294,--,--,1215,
应收股利(万元),--,--,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,--,--,--,--,--,--,--,0,--,0,81,81,81,81,81,81,81,81,105,--,--,0,
其他应收款(万元),23961,37229,9893,17077,15773,30699,18970,13517,11142,5098,10268,19371,17730,20257,34651,37982,37796,35680,22711,40038,142343,9966,16759,18519,22951,19766,22912,20271,10609,26267,23021,37767,30908,38353,24509,56032,74561,65416,53664,67824,52818,49389,35487,26144,1277,714,7216,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
存货(万元),762692,807955,902774,1546160,1616192,1578511,1563192,1641859,1580703,1480655,1433270,1476678,1335635,1223669,1239909,1163403,996838,1125787,993045,468986,242262,392446,330321,329428,268776,338433,361664,217742,183841,204497,207828,309824,346214,315071,309749,323741,379081,501001,519835,554735,444595,297574,240758,220374,74280,66057,200807,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
