报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),30048,46610,37377,33577,37479,34771,36866,38302,45558,53252,54514,53674,64836,73959,81723,71494,80511,84202,35064,--,24840,33071,30279,28532,20976,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,31,13,--,9,--,--,--,--,--,--,--,--,--,375,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),8276,5571,10269,7197,6159,6041,9731,5615,5721,3931,6342,4832,4661,4488,6541,4349,4231,3480,7085,--,4433,6502,5208,4637,3533,
应收账款(万元),17142,16421,14379,18931,21822,21509,21271,27371,27758,27057,24534,28584,31038,31359,31375,32822,37321,32555,31460,--,32472,24374,16924,13560,14595,
预付款项(万元),2615,2050,1318,1841,2282,992,649,2657,2002,2102,1807,3432,3018,1964,1320,3304,3422,1548,976,--,999,1501,1439,755,715,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),11,5,5,11,12,5,138,48,30,27,135,56,273,46,848,561,483,--,65,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),776,820,738,1468,1371,697,1220,904,922,1086,845,816,975,959,1137,2015,1917,1915,2542,--,2044,1851,1510,726,594,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1234,1368,1037,1415,1348,1255,783,936,1022,796,799,901,1022,984,848,851,822,938,695,--,424,747,1315,1449,959,
