报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),2295,3171,2373,6138,1477,2498,1192,4794,5704,24624,16371,5702,9865,8540,6761,28232,36906,34676,43792,20767,24424,44676,58884,4092,3359,14983,993,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),770,1675,408,551,405,320,307,184,825,2802,500,385,54,803,687,621,330,1240,739,1242,568,604,628,1243,1092,156,20,
应收账款(万元),7094,6700,5540,3867,3657,2606,2840,2068,2288,2762,1146,1539,464,311,282,665,176,107,670,1240,623,283,497,569,318,259,421,
预付款项(万元),977,227,1745,1529,2295,1974,10175,10043,13214,10575,10072,9758,9790,7999,4840,5696,5123,4870,2942,2885,2855,2285,4236,3783,3483,1478,343,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,602,432,265,93,594,451,430,169,8,--,--,--,
应收股利(万元),462,462,962,1192,1192,1652,1652,1652,2302,2302,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
