报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),6663,7491,27943,33022,5796,4371,3226,8612,5331,2524,10569,5641,3760,714,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,9,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),10955,12988,6007,5313,6207,7245,7090,3736,4355,4029,2070,3356,762,329,
应收账款(万元),18714,19313,19644,21850,17114,16070,14576,12906,12239,10387,5583,4185,4699,3857,
预付款项(万元),2679,796,2591,874,1900,1376,1082,1265,1189,1774,1140,1793,606,441,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),139,75,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),163,136,523,129,108,60,46,74,68,65,28,26,45,33,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),13507,12433,15367,12550,9641,10185,8278,7693,8344,9017,6800,4210,4721,4648,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),10000,10000,3,1,1,5,2,22,--,0,--,--,--,--,
流动资产合计(万元),62819,63233,72078,73739,40768,39311,34301,34308,31524,27796,26190,19211,14593,10032,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1000,1000,1000,1000,1000,1000,1000,0,--,0,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1208,1299,1466,1687,2022,2267,2563,3058,3302,3544,3718,0,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),571,607,617,627,1215,1235,1275,1354,1394,1433,0,0,--,--,
固定资产原值(万元),--,23264,--,21790,20364,19933,19268,--,13670,--,8579,7739,6824,4316,
累计折旧(万元),--,7882,--,7171,6607,6369,5671,--,4036,--,2793,2243,1665,1304,
固定资产净值(万元),--,15382,--,14619,13758,13565,13597,--,9634,--,5787,5495,5159,3011,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15346,15382,15090,14619,13758,13565,13597,9911,9634,9166,5787,5495,5159,3011,
在建工程(万元),3164,3164,2747,2744,2411,2320,197,1655,562,149,46,46,--,232,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),6654,4982,5024,5065,5107,5149,5232,5071,5125,5178,4493,4636,2706,127,
开发支出(万元),--,454,454,454,454,425,314,218,103,27,0,0,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),176,181,213,195,154,155,127,106,113,92,51,41,38,32,
其他非流动资产(万元),2200,2134,1082,845,589,562,698,830,--,0,--,--,--,--,
非流动资产合计(万元),30320,29205,27692,27237,26709,26676,25003,22204,20233,19590,14094,10218,7903,3402,
资产总计(万元),93139,92438,99770,100975,67477,65987,59303,56511,51757,47385,40284,29429,22496,13434,
短期借款(万元),--,--,6700,8400,8400,8400,7900,13000,12000,9293,12000,7500,5000,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,282,359,48,0,--,0,--,--,--,--,
应付账款(万元),6286,6092,6632,8120,5219,5393,4876,3187,3231,4809,2199,1744,1564,534,
预收账款(万元),455,331,232,655,758,732,281,371,421,497,280,159,229,177,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),420,221,579,580,473,461,486,454,387,433,208,123,25,3,
应交税费(万元),725,701,677,702,895,512,737,564,475,343,318,297,192,190,
应付利息(万元),--,--,--,--,--,0,0,0,0,1,0,0,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),107,141,335,243,163,669,211,73,64,46,5,73,2,5963,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
