报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),41315,38129,48991,57114,92368,50924,54648,73412,83382,35368,52139,88565,80414,88423,83484,69140,49274,55934,52120,73941,75382,70276,51689,63453,71363,70879,66333,69967,68335,71750,71999,80106,82407,16214,14387,20136,12324,13177,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),14671,15629,11990,23040,22274,14715,16854,18982,14715,19454,10679,13641,11885,14077,14708,10432,11526,14292,13419,12684,16996,16501,17110,11473,8462,11692,13855,10719,10022,9618,12527,4748,6610,8798,6174,5000,1979,3144,
应收账款(万元),61047,60778,64871,56532,62812,67835,103573,99487,105386,96125,90015,68742,67344,63308,62700,50844,45034,46844,47936,42005,43748,38509,37409,28281,31423,26805,29753,28630,27174,25119,19678,23182,17203,14798,14771,14621,10229,12210,
预付款项(万元),920,1925,1957,1485,1182,1901,1361,1721,1271,1025,1607,1390,1391,4030,1955,3342,2805,16160,14951,3684,3343,10973,9730,12700,4319,3321,2597,3483,4480,4114,3544,1970,2803,2344,1133,1855,1131,1005,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),463,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,1906,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,11768,8992,13875,26416,2124,2574,2476,2806,3033,3419,3598,3616,6061,3597,2343,2131,1735,1629,1766,1661,1504,1079,430,421,312,292,129,202,2488,2464,127,217,271,132,194,398,338,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
