报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),45781,63824,33981,9687,7823,4928,3460,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),7641,1783,6233,4289,1621,816,1144,
应收账款(万元),29596,24426,28027,22828,22221,14954,11011,
预付款项(万元),1593,752,637,248,214,118,21,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),497,5105,4102,1123,138,130,71,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),25360,23754,17211,13264,13649,11403,10421,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),13533,8687,2340,3447,--,26,165,
流动资产合计(万元),124002,128329,92532,54885,45666,32375,26293,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,1989,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,41769,40506,11106,--,--,--,
累计折旧(万元),--,7213,5797,4397,--,--,--,
固定资产净值(万元),--,34557,34708,6709,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),34009,34557,34708,6709,7479,6999,7627,
在建工程(万元),6038,5659,5408,6519,--,801,8,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),6736,6781,6880,7059,1889,1961,2030,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),812,812,812,812,--,--,--,
长期待摊费用(万元),308,359,462,711,1111,1141,1228,
股权分置流通权(万元),--,--,--,--,--,--,--,
