报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),14244,22338,16036,15162,20364,28607,7622,6458,13496,25157,10070,11795,19820,30960,18452,19324,23244,31465,21973,22057,23690,34280,37532,1563,1708,4896,4439,3131,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),60,--,--,30,131,176,--,--,--,--,--,--,123,--,40,51,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),23552,19860,23592,21764,18743,15634,23262,23684,19124,16739,22384,21481,18405,13297,17275,15169,14782,12839,17908,16793,14509,17395,19105,18218,10761,11183,12075,8303,
预付款项(万元),2165,1169,1304,1535,1481,944,1443,5238,1536,1422,2123,1462,1057,1200,1465,1475,2279,1269,1210,1295,1608,1127,2946,3528,2438,1821,1443,1125,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,235,550,600,503,874,818,733,619,458,393,282,293,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1743,2175,1550,1644,1160,1639,1848,2179,1529,1560,1037,1472,1499,1311,1243,1352,927,917,710,857,917,1065,1147,1010,605,661,816,660,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),23516,21040,21315,20548,19646,18841,20978,19687,20081,17058,19124,15475,15962,14541,18576,16494,15239,14516,14352,12851,13668,11873,12221,8963,15330,12833,9509,5701,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1300,6538,1100,162,180,482,1260,--,--,1121,--,--,--,980,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),66581,73119,64898,60845,61706,66322,56413,57246,55766,63057,54973,52236,57467,62792,57925,54683,57203,61625,56611,54246,54674,66034,72951,33282,30844,31394,28281,18921,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),865,574,553,565,585,588,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),5360,5440,5001,5069,5136,5204,5251,5319,5387,3109,865,884,899,913,929,945,961,978,736,748,760,772,783,795,807,819,867,914,
固定资产原值(万元),--,75016,--,75033,--,74580,--,73031,--,72500,--,73011,--,57589,--,39084,--,38936,--,38671,--,38173,--,27585,--,22372,16735,--,
累计折旧(万元),--,24392,--,22507,--,20281,--,18253,--,16119,--,13963,--,12147,--,11228,--,10034,--,8854,--,7630,--,6598,--,5788,4440,--,
固定资产净值(万元),--,50624,--,52526,--,54300,--,54778,--,56381,--,59048,--,45442,--,27857,--,28902,--,29818,--,30543,--,20987,--,16585,12295,--,
固定资产减值准备(万元),--,5,--,5,--,5,--,5,--,5,--,5,--,5,--,7,--,7,--,7,--,7,--,7,--,7,7,--,
固定资产(万元),49766,50619,51681,52521,53498,54295,53945,54773,55714,56376,58668,59043,44746,45437,27644,27850,28466,28895,29284,29811,30379,30536,24131,20980,17523,16578,12288,12059,
在建工程(万元),346,273,218,216,55,171,1264,1256,1256,3608,2553,2576,17224,16673,15607,14885,14358,14246,--,--,22,--,3885,6020,7329,6431,3345,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10068,10148,9933,10057,10088,10167,10194,10272,10355,6531,6575,6625,6678,6725,4801,4824,4855,4841,4893,4911,4929,4958,5273,5293,5296,5144,3699,3799,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),849,849,849,849,849,849,849,849,849,849,849,849,849,849,293,293,293,293,293,293,293,293,293,293,293,293,293,293,
长期待摊费用(万元),20,27,33,28,30,39,31,21,52,238,314,386,477,403,547,617,615,690,184,209,224,249,136,150,66,73,31,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3398,3360,3396,3129,2992,3102,2967,2796,2854,2859,2276,2487,2309,2175,1374,1368,1584,1681,1942,1833,1750,1280,907,855,694,715,547,537,
其他非流动资产(万元),86,86,119,119,143,145,58,258,283,872,1918,1875,1965,2069,4647,4541,4588,4608,18593,17391,17391,9819,--,--,--,--,--,--,
非流动资产合计(万元),70757,71377,71782,72553,73376,74560,74561,75544,76750,74442,74017,74724,75146,75246,55843,55323,55721,56232,55924,55197,55748,47907,35408,34386,32008,30052,21070,17602,
资产总计(万元),137338,144496,136680,133398,135082,140882,130974,132790,132516,137499,128991,126959,132613,138038,113768,110006,112924,117856,112535,109443,110422,113940,108359,67669,62851,61446,49351,36523,
短期借款(万元),--,--,3000,3000,2000,2000,3100,4900,1000,400,4000,4000,4000,4000,2000,--,--,1000,2000,1500,--,--,--,16452,13592,7480,3500,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),5490,6015,5431,3815,3534,4040,3593,3502,3307,3368,2437,1917,1960,2720,2615,2625,2910,3040,3530,2790,3017,3652,3625,2545,2650,4455,3964,2070,
应付账款(万元),3473,4052,3455,2909,3021,3591,3932,4612,4652,3216,4208,3416,5373,5157,2827,3304,3120,3110,2483,2334,2829,3073,2611,2123,2325,2380,2721,2201,
预收账款(万元),11363,11858,5539,6430,8211,8775,4665,3918,7083,8245,4273,4297,7247,5859,3740,3630,4978,5541,3625,2111,3172,2784,3320,2416,5889,4952,5329,2835,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4390,7002,4976,4211,3939,5711,4721,4040,3521,5229,4069,3573,3134,4796,3659,3056,2565,4588,3638,3249,2461,4360,3000,2306,2305,2030,1457,1172,
应交税费(万元),2547,6786,3154,3264,2211,5277,2301,2263,1077,4524,1773,2138,2130,3669,966,687,394,2502,1426,2169,1089,3345,1658,2394,552,3731,3612,2979,
应付利息(万元),--,--,12,12,2,1,2,1,1,1,7,7,7,7,6,--,--,7,18,10,--,--,--,30,29,17,5,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),691,614,540,652,565,614,702,2562,3093,3951,7955,8072,4922,8809,575,583,556,686,735,749,751,721,1929,1987,2013,1060,95,1035,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),27955,36327,26106,24294,23482,30010,23015,25799,23735,28934,28722,27421,28773,35017,16388,13885,14522,20474,17456,14911,13319,17935,16143,30252,29355,26104,20684,12292,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),59,88,182,153,42,218,--,--,--,731,264,327,415,537,430,350,525,480,310,284,659,709,310,289,560,561,498,526,
长期递延收益(万元),3160,3217,3237,3286,3340,3383,3307,3376,3422,3468,479,538,543,355,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),266,272,277,283,289,294,309,306,311,317,327,327,333,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,358,361,364,368,371,374,377,380,385,388,32,34,38,10,
非流动负债合计(万元),3486,3577,3697,3722,3670,3895,3616,3681,3733,4516,1071,1192,1292,1232,788,712,890,848,680,658,1036,1089,695,676,592,595,536,536,
负债合计(万元),31440,39904,29803,28016,27152,33905,26631,29480,27468,33450,29793,28613,30064,36249,17176,14597,15412,21322,18136,15568,14355,19024,16838,30928,29947,26700,21220,12828,
实收资本(或股本)(万元),35485,35485,35485,35485,35485,35485,35485,35485,35485,35485,35485,35485,23657,23657,23657,23657,19714,19714,19714,19714,9857,9857,9857,7392,7392,7392,7392,7392,
资本公积(万元),35716,35716,36339,36339,36339,36339,36339,36339,36339,36339,36339,36339,48167,48167,48167,48167,52110,52110,52110,52110,61967,61967,61967,11003,11003,11003,11003,11003,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),7988,7988,7412,7412,7412,7412,6986,6986,6986,6986,6532,6532,6532,6532,5762,5762,5762,5762,5059,5059,5059,5059,3979,3979,3979,3979,3008,2396,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),23284,22167,19871,18806,21419,20537,19098,18437,20984,19991,18381,17798,22328,21418,19006,17823,19926,18949,17516,16991,19184,18033,15717,14366,10530,12372,6728,2904,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),102473,101356,99107,98042,100654,99773,97909,97248,99795,98802,96737,96154,100684,99774,96592,95409,97512,96535,94399,93874,96067,94916,91521,36740,32905,34746,28131,23695,
少数股东权益(万元),3424,3236,7770,7340,7275,7204,6434,6062,5253,5247,2461,2193,1865,2015,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),105898,104592,106877,105382,107929,106977,104343,103310,105048,104049,99198,98347,102549,101789,96592,95409,97512,96535,94399,93874,96067,94916,91521,36740,32905,34746,28131,23695,
负债和所有者权益(或股东权益)总计(万元),137338,144496,136680,133398,135082,140882,130974,132790,132516,137499,128991,126959,132613,138038,113768,110006,112924,117856,112535,109443,110422,113940,108359,67669,62851,61446,49351,36523,		
  
