报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),22786,35585,23640,87998,46325,32138,28663,26238,34553,52518,231448,31083,50637,57628,60155,56179,22065,24963,19391,13693,20447,13311,24150,21277,34916,45639,46067,2502,2618,6259,3367,3493,444,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,566,566,24697,20684,--,--,--,30814,--,--,772,772,--,105,--,2012,--,--,--,255,107,46,47,--,--,--,--,--,9,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),25048,23352,36150,32893,25977,24198,38058,28171,9960,12224,15969,10895,10214,7118,7737,6225,1930,6021,6931,10431,3365,3305,7748,6480,2603,3394,8099,5459,3769,6164,4015,1325,1781,
预付款项(万元),59977,2809,2679,5559,2652,2205,3053,3368,1555,950,2972,3151,1543,835,2057,1865,1657,1390,2568,899,1979,598,2738,361,384,149,372,253,323,598,691,219,196,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
