报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),48658,66235,65116,61612,45134,41384,40818,30532,25917,15304,14974,10680,8013,2518,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收账款(万元),214,396,340,290,351,307,327,359,288,326,483,334,326,280,
预付款项(万元),190,249,174,244,1167,1078,689,926,1416,1739,2880,2134,1397,1377,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),372,383,265,353,306,384,341,491,519,437,231,218,121,124,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),3041,2869,2771,2370,2140,2326,2596,2355,2594,2307,2222,1438,943,967,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),29156,9400,3000,9801,--,--,--,--,--,--,--,0,0,0,
流动资产合计(万元),81631,79532,71667,74670,49098,45479,44771,34664,30735,20114,20789,14804,10799,5266,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),2591,2635,2679,2723,2767,2812,2900,1397,145,--,--,0,0,0,
固定资产原值(万元),--,14661,--,13798,13792,13834,13739,--,--,--,--,5697,0,0,
累计折旧(万元),--,3920,--,3535,3326,3145,2838,--,--,--,--,857,0,0,
固定资产净值(万元),--,10742,--,10263,10466,10690,10901,--,--,--,--,4840,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),10682,10742,10125,10263,10466,10690,10901,11220,11292,4836,4599,4840,3116,2650,
在建工程(万元),89,1348,1401,901,--,--,--,--,--,6184,5990,24,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),2382,2442,2494,2554,2616,2630,2666,268,340,212,110,94,86,16,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期待摊费用(万元),4978,1935,1736,1729,1886,2105,2343,3139,3303,2407,456,436,297,336,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),668,716,619,619,504,458,433,304,119,78,37,28,30,39,
其他非流动资产(万元),631,480,151,150,633,101,26,4709,6372,6466,65,0,0,0,
非流动资产合计(万元),22022,20297,19203,18939,18872,18795,19269,21037,21572,20183,11257,5421,3530,3040,
资产总计(万元),103653,99829,90870,93609,67970,64274,64041,55701,52307,40297,32046,20225,14329,8306,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付账款(万元),1660,2026,1452,2532,1126,1930,2872,1709,1900,1352,1387,741,601,983,
预收账款(万元),41446,38105,32196,30121,33583,30043,26745,23151,23026,16728,11890,6689,4726,2991,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),853,846,994,818,565,487,455,429,420,321,324,320,234,257,
应交税费(万元),1674,1865,423,2588,1469,1505,3083,2826,3059,1613,1711,940,874,557,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),824,669,654,642,579,488,526,535,369,329,68,249,111,57,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
