报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),10834,11230,10296,10064,15911,20477,6955,17316,14354,16989,18075,13639,16047,14358,20495,14900,16010,22043,23344,19040,22206,27710,37902,40438,37482,42092,49691,12419,13745,15003,8490,5320,5409,2682,1375,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),1882,872,2084,1316,421,331,1576,1604,1181,843,2134,3299,779,987,346,329,630,386,728,208,103,142,1794,118,122,800,237,298,629,190,261,246,30,51,0,
应收账款(万元),7394,8667,11071,7866,9609,9597,12982,8677,9785,11116,14293,12240,11243,13171,13808,13468,13624,15375,18534,23930,22349,19262,20659,20291,16701,13842,11548,17496,11972,9615,9987,8658,6425,5831,3555,
预付款项(万元),2039,2386,2297,3357,1881,2224,2511,5104,2738,4464,2025,6308,3710,3718,3422,4733,6699,7324,5990,3618,3164,5555,2474,1259,505,1117,954,626,101,252,318,461,348,728,27,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
