报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),1613112,1048584,1327841,1658281,1731834,1546310,1137176,930799,691551,5759,5612,2728,9401,8948,7621,5387,10910,14555,13527,16740,21863,12127,9484,13751,12424,13555,15923,17665,25616,30817,30299,31195,27364,24719,35075,32822,7564,3889,5169,5914,3992,321,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),1444,1743,1537,1704,1782,1773,1813,3267,3380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),--,2203,--,2030,917,251,557,455,441,5534,5827,5155,6386,5884,13120,14363,13028,12556,9631,19003,18337,15222,17212,16054,21351,7065,11799,6658,6342,553,5187,4886,5246,3107,2127,1981,1760,344,837,369,248,30,
应收账款(万元),--,607591,--,540562,580415,462242,436037,408881,455991,21723,22393,20314,20966,22986,20367,18706,17141,18304,17751,17898,15694,21364,23664,19884,18320,19705,21269,20094,19118,19472,14751,15534,11612,12147,12612,12291,10504,11668,9535,8941,5447,3984,
预付款项(万元),251685,227694,189377,179127,177403,154407,139936,129951,149255,7098,6270,10148,7248,6920,4656,7078,8897,14242,17820,17447,14368,11916,14298,8325,11124,19866,10924,13247,17064,22765,25850,14167,8168,11349,8687,15205,3057,4187,2639,1698,1677,665,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,--,--,6363,5471,3549,1591,558,524,7,7,--,18,--,--,--,27,--,--,--,98,--,--,6,6,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),--,144109,117675,152185,155436,185651,88520,95436,101966,290,298,561,315,381,475,615,453,695,572,415,486,2135,1715,468,283,541,626,468,448,313,340,501,264,257,289,494,363,253,260,165,128,104,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
