报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),92706,110301,197485,188836,80544,91372,49780,68770,97796,66294,72608,124029,175654,166467,199103,234361,253526,223711,67060,47404,50687,89162,39559,56967,73947,59283,81715,206636,28373,19634,31181,53766,51417,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),602,--,120,1390,1800,5,--,--,--,--,35,147,147,--,--,50,50,564,649,85,10,145,0,--,10,226,61,--,20,--,--,--,--,
应收账款(万元),26677,32986,35453,24464,31020,21334,26924,32321,32664,18912,21340,23529,24024,22365,25377,19097,21182,17518,15366,14804,14467,10797,14844,8589,8032,4079,4219,3342,3510,3539,801,994,1890,
预付款项(万元),12336,8627,10032,8410,6669,20361,13896,11168,10464,16612,13876,12692,12152,15569,10856,11603,10615,15545,11081,12467,11454,6625,6668,6951,11081,4757,3450,2354,4880,3734,6947,4695,2583,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
