报告日期,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),40958,4241,8333,4873,2514,4647,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),10565,9452,5067,4815,3486,172,
应收账款(万元),18146,12055,22932,20594,11712,3860,
预付款项(万元),298,865,392,109,41,204,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),344,608,168,94,218,482,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),18644,16429,15973,10773,11842,6035,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),465,52,112,--,121,468,
流动资产合计(万元),89419,43702,52977,41257,29936,15867,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,26977,26530,--,--,--,
累计折旧(万元),--,8116,7515,--,--,--,
固定资产净值(万元),--,18861,19015,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),19724,18861,19015,18402,16603,4987,
在建工程(万元),78,236,226,1816,1015,5452,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),1461,1459,1477,1472,1472,1460,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),435,388,444,420,344,253,
其他非流动资产(万元),3670,2106,1707,80,291,3647,
非流动资产合计(万元),25368,23050,22870,22191,19726,15799,
资产总计(万元),114788,66752,75847,63448,49662,31666,
短期借款(万元),9100,8100,6000,5000,4500,7551,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),6978,5854,7730,1688,3380,1156,
应付账款(万元),19074,10052,19273,20734,16889,7643,
预收账款(万元),342,263,203,456,270,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),1144,880,1247,1386,812,480,
应交税费(万元),934,838,1114,1338,675,7,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),468,189,188,172,113,3704,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),38041,26177,35755,30774,26638,20540,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),1074,1166,1211,1301,1356,1428,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),1074,1166,1211,1301,1356,1428,
负债合计(万元),39115,27343,36966,32075,27995,21968,
实收资本(或股本)(万元),8555,6415,6415,6415,6000,718,
资本公积(万元),47052,19352,19352,19352,14513,6999,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),1311,1311,1311,561,116,198,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),18754,12333,11805,5045,1038,1783,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),75672,39409,38881,31373,21667,9698,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),75672,39409,38881,31373,21667,9698,
负债和所有者权益(或股东权益)总计(万元),114788,66752,75847,63448,49662,31666,		
  
